filename,personaje,tema,texto,emocion,formato,origen_clasificacion
Universe - Existencial 260503.png,Kiri,Relatable,Silencio reconfortante,Melancolía,Frase + imagen,Vision (Manus)
Universe - Existencial 260503.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260505.png,Elara,Emocional,"No todo lo que te duele te rompe, algunas cosas te despiertan.",Resignación,Frase + imagen,Vision (Manus)
Universe - Existencial 260507.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260508.jpg,Universe,Sarcástico,"Karen, tu eres cine",Resignación,Frase + imagen,
Universe - Existencial 260508.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260509.png,Universe,Relatable,Pensamientos con groserías,Resignación,Frase + imagen,
Universe - Existencial 260510.png,Wilfred,Relatable,Eliminaste este mensaje QUE BORRASTE,Resignación,Frase + imagen,
Universe - Existencial 260511.png,Universe,Relatable,Mi cerebro cuando alguien empieza una conversación normal,Resignación,Frase + imagen,
Universe - Existencial 260512.png,Elara,Relatable,Ustedes me ven muy normal,Resignación,Frase + imagen,
Universe - Existencial 260513.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260514.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260515.png,Wilfred,Relatable,Ni me dan ris,Resignación,Frase + imagen,
Universe - Existencial 260516.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260517.png,Mixto,Reflexivo,Mere,Resignación,Frase + imagen,
Universe - Existencial 260518.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260519.png,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente revisión manual
Universe - Existencial 260520.png,Universe,Relatable,dijiste q escuchas la,Resignación,Frase + imagen,
Universe - Existencial 260522.png,Ninguno,Sarcástico,Tu,Resignación,Frase + imagen,
