id,created_utc,created_local,local_date,local_hour,weekday,message,reactions,comments,shares,interactions
1036844829507460_122141896611072582,2026-07-25T23:53:58+00:00,2026-07-25T17:53:58-06:00,2026-07-25,17.883333333333333,Saturday,Hay comentarios que no buscan dialogar... buscan picarte. 😌☕ #UniverseSentMe #PayasoUSM #MemesUSM #USMExistencial #HumorNegro #Sarcasmo #Memes #PazMental #HumorCotidiano,13,0,0,13
1036844829507460_122141905671072582,2026-07-26T01:32:21+00:00,2026-07-25T19:32:21-06:00,2026-07-25,19.533333333333335,Saturday,porfi... me da fomo #UniverseSentMe #humor #MemesUSM #fomo,29,3,11,43
1036844829507460_122142285483072582,2026-07-26T15:29:53+00:00,2026-07-26T09:29:53-06:00,2026-07-26,9.483333333333333,Sunday,😌🥰 #UniverseSentMe #MomentosUSM #parati #vidareal #MardeNubesUSM,36,2,3,41
1036844829507460_122142286869072582,2026-07-26T16:30:02+00:00,2026-07-26T10:30:02-06:00,2026-07-26,10.5,Sunday,Dentro de mi hay dos lobos.. #UniverseSentMe #MemesUSM #relatable #videareal #pazinterior,31,2,8,41
1036844829507460_122142323907072582,2026-07-26T22:05:59+00:00,2026-07-26T16:05:59-06:00,2026-07-26,16.083333333333332,Sunday,Reflexiones de Wilfred... #UniverseSentMe #WilfredUSM #reflexiones #pazmental,8,0,0,8
1036844829507460_122142333291072582,2026-07-27T02:26:26+00:00,2026-07-26T20:26:26-06:00,2026-07-26,20.433333333333334,Sunday,😌 #UniverseSentMe,78,1,12,91
1036844829507460_122142338601072582,2026-07-27T04:11:21+00:00,2026-07-26T22:11:21-06:00,2026-07-26,22.183333333333334,Sunday,Se tu mismo con intensidad. #UniverseSentMe #momentosUSM #SeTuMismo,114,5,35,154
1036844829507460_122142339861072582,2026-07-27T04:49:33+00:00,2026-07-26T22:49:33-06:00,2026-07-26,22.816666666666666,Sunday,API Test for 'pages_manage_posts' at 2026-07-26 23:49:28.,6,0,5,11
1036844829507460_122142348393072582,2026-07-27T08:00:38+00:00,2026-07-27T02:00:38-06:00,2026-07-27,2.0,Monday,API Test for 'pages_manage_posts',8,0,2,10
1036844829507460_122142400041072582,2026-07-27T17:59:29+00:00,2026-07-27T11:59:29-06:00,2026-07-27,11.983333333333333,Monday,Música muy muy fuerte... 😌 #UniverseSentMe #MomentosUSM #ElaraUSM #reflexiones #pazmental #musica,33,4,3,40
1036844829507460_122142469383072582,2026-07-27T19:23:20+00:00,2026-07-27T13:23:20-06:00,2026-07-27,13.383333333333333,Monday,Mi ascenso a la locura 😵‍💫 #universesentme #hadaUSM #MomentosUSM #reflexiones,20,3,4,27
1036844829507460_122142624879072582,2026-07-27T21:20:01+00:00,2026-07-27T15:20:01-06:00,2026-07-27,15.333333333333334,Monday,☺️😊 #UniverseSentMe #memesUSM #humor,900,23,95,1018
1036844829507460_122142626925072582,2026-07-27T22:20:01+00:00,2026-07-27T16:20:01-06:00,2026-07-27,16.333333333333332,Monday,Pasa y ponte cómoda... #UniverseSentMe #pazinterior #LoreUSM #ElaraUSM #EvanUSM,142,1,33,176
1036844829507460_122142625983072582,2026-07-28T00:00:00+00:00,2026-07-27T18:00:00-06:00,2026-07-27,18.0,Monday,Abrazos que curan el alma #UniverseSentMe #Abrazarte #MomentosUSM,512,12,142,666
1036844829507460_122142627051072582,2026-07-28T02:00:00+00:00,2026-07-27T20:00:00-06:00,2026-07-27,20.0,Monday,😭🫣 #UniverseSentMe #humoracido #memesUSM,2249,16,714,2979
1036844829507460_122142779757072582,2026-07-28T19:57:12+00:00,2026-07-28T13:57:12-06:00,2026-07-28,13.95,Tuesday,No es desinterés... #UnvierseSentMe #FantasmaUSM #humor #memesUSM,2367,18,1341,3726
1036844829507460_122142783603072582,2026-07-28T21:36:35+00:00,2026-07-28T15:36:35-06:00,2026-07-28,15.6,Tuesday,😎 #UniverseSentMe #humoracido #UniverseUSM #memesUSM,48,1,19,68
1036844829507460_122142786213072582,2026-07-28T22:07:16+00:00,2026-07-28T16:07:16-06:00,2026-07-28,16.116666666666667,Tuesday,Yo y cuenta no encontrada. 😶 #UniverseSentMe #humor #memesUSM #relaciones,38,1,4,43
1036844829507460_122142787089072582,2026-07-29T00:00:00+00:00,2026-07-28T18:00:00-06:00,2026-07-28,18.0,Tuesday,😎,14,1,0,15
1036844829507460_122142787275072582,2026-07-29T02:00:02+00:00,2026-07-28T20:00:02-06:00,2026-07-28,20.0,Tuesday,😏 #UniverseSentMe,27,0,4,31
1036844829507460_122142839523072582,2026-07-29T04:14:25+00:00,2026-07-28T22:14:25-06:00,2026-07-28,22.233333333333334,Tuesday,#universesentme #universo #WilfredUSM #humor #MomentosUSM,6,1,0,7
1036844829507460_122143033293072582,2026-07-29T19:03:31+00:00,2026-07-29T13:03:31-06:00,2026-07-29,13.05,Wednesday,Un rock bien gótico Vs una canción de Juan Gabriel #UniverseSentMe #UniverseUSM #vidagatuna #humor,25,3,0,28
1036844829507460_122143035399072582,2026-07-29T21:20:00+00:00,2026-07-29T15:20:00-06:00,2026-07-29,15.333333333333334,Wednesday,y para mi próximo truco.. #UniverseSentMe #MomentosUSM #WilfredUSM #humoracido #pazinterior,24,2,7,33
1036844829507460_122143041039072582,2026-07-29T22:21:54+00:00,2026-07-29T16:21:54-06:00,2026-07-29,16.35,Wednesday,Siempre se me olvidan los nombre.. 🫣- #UniverseSentMe #memesUSM #amistad #EvanUSM #Humor,25,6,1,32
1036844829507460_122143048701072582,2026-07-30T02:03:18+00:00,2026-07-29T20:03:18-06:00,2026-07-29,20.05,Wednesday,Mi gato sabe hacer de todo... #universesentme #vidagatuna #UniverseUSM #humor,21,2,2,25
1036844829507460_122143049391072582,2026-07-30T02:12:34+00:00,2026-07-29T20:12:34-06:00,2026-07-29,20.2,Wednesday,Este post es invisible #UniverseSentMe #memesUSM,26,1,6,33
1036844829507460_122143139409072582,2026-07-30T14:01:56+00:00,2026-07-30T08:01:56-06:00,2026-07-30,8.016666666666667,Thursday,🤦‍♂️ #UniverseSentMe #humoracido #memesUSM,36,2,6,44
1036844829507460_122143141185072582,2026-07-30T14:17:19+00:00,2026-07-30T08:17:19-06:00,2026-07-30,8.283333333333333,Thursday,🤭 #UniverseSentMe #WilfredUSM #humor #MercadoLibre #plush,21,4,1,26
1036844829507460_122143123305072582,2026-07-30T16:00:29+00:00,2026-07-30T10:00:29-06:00,2026-07-30,10.0,Thursday,Momentos Universe 😌 #UniverseSentMe #EvanUSM #ElaraUSM #humoracido #memesenespañol,267,8,46,321
1036844829507460_122143143303072582,2026-07-30T18:30:02+00:00,2026-07-30T12:30:02-06:00,2026-07-30,12.5,Thursday,Te volveré a encontrar... 😌 #UniverseSentMe #ElaraUSM #MomentosUSM #gatos,84,5,31,120
1036844829507460_122143328835072582,2026-07-30T21:35:38+00:00,2026-07-30T15:35:38-06:00,2026-07-30,15.583333333333334,Thursday,Ustedes me ven normal... pero yo ya inventé toda la conversación antes de que me hablen. 👀✨ ° #UniverseSentMe #ElaraUSM #MomentosUSM #pov #humor #relatable #meme,25,0,3,28
1036844829507460_122143335783072582,2026-07-31T00:33:37+00:00,2026-07-30T18:33:37-06:00,2026-07-30,18.55,Thursday,Que alguien me detenga... #UniverseSentMe #universeUSM #MemesUSM #humor #Netflix#relatable,4,0,2,6
1036844829507460_122143337613072582,2026-07-31T02:00:00+00:00,2026-07-30T20:00:00-06:00,2026-07-30,20.0,Thursday,🙂‍↔️ Obvio no te estoy coqueteando #UniverseSentMe #MemesUSM #relatable #memesenespañol,193,2,48,243
1036844829507460_122143525725072582,2026-07-31T20:05:48+00:00,2026-07-31T14:05:48-06:00,2026-07-31,14.083333333333334,Friday,Me salio en TIk tok 😝 #UniverseSentMe #ElaraUSM #memes #relatable #tiktok,19,3,3,25
1036844829507460_122143527921072582,2026-07-31T21:00:00+00:00,2026-07-31T15:00:00-06:00,2026-07-31,15.0,Friday,"No todos los hadas dan flores y mariposas. Algunas te dan la verdad y te dejan sentada frente a la hoguera procesándola. Kiri no vino a consolarte. Vino a recordarte que lo que no entiendes te controla. Y hoy, por fin, algo hizo click. El bosque no miente. Las preguntas correctas duelen al principio, pero te liberan al final. ¿Qué fue eso que recién entendiste? Cuéntamelo en los comentarios. 👇 #KiriUSM #LoresUSM #MomentosUSM #UniverseSentMe #relatable #humor",524,14,127,665
1036844829507460_122143530333072582,2026-08-01T00:00:01+00:00,2026-07-31T18:00:01-06:00,2026-07-31,18.0,Friday,"Las cartas no mienten... bueno, casi no mienten. ✨🗓️ 31 de julio. Otro mes que se fue. Universe leyó las cartas y el resultado fue... bueno, el resultado está en la imagen. Si sobreviviste hasta hoy, las estrellas (y un gato tarotista) te lo reconocen. 🐾 @UniverseSentMe #UniverseSentMe #TarotCat #31DeJulio #FinDeMes #GatoTarotista #MemeCat #Astrologia #TarotHumor #GatosDelUniverso #MemeDelDia #31Julio #VibraCosmica #HumorCosmico #MisteriosDelUniverso #GatoConGafas",104,4,19,127
1036844829507460_122143924209072582,2026-08-01T17:59:55+00:00,2026-08-01T11:59:55-06:00,2026-08-01,11.983333333333333,Saturday,"Si estás leyendo esto, ¡felicidades! Has sobrevivido a otro microinstante del caos universal. Sig #UniverseSentMe #HumorExistencial #MemesUSM",806,60,453,1319
1036844829507460_122143955469072582,2026-08-01T22:10:07+00:00,2026-08-01T16:10:07-06:00,2026-08-01,16.166666666666668,Saturday,Harry Potter y el misterio de por qué sigo intentando ser un adulto funcional un sábado por la tarde. #UniverseSentMe #humorabsurdo #expectativavsrealidad #Sábado #momentosUSM,12,0,4,16
1036844829507460_122143962651072582,2026-08-02T00:00:07+00:00,2026-08-01T18:00:07-06:00,2026-08-01,18.0,Saturday,"Dormir es para los débiles. Yo soy el débil. Buenas noches, universo. #UniverseSentMe #Relatable #CansancioExistencial #BuenasNoches #HumorIA",23,1,3,27
1036844829507460_122143966461072582,2026-08-02T01:13:16+00:00,2026-08-01T19:13:16-06:00,2026-08-01,19.216666666666665,Saturday,La sabiduría del bosque es clara: lo que ves en el muro es solo la punta del iceberg. El verdadero caos está en el mensaje directo 🌲🤐 #universesentme #WilfredUSM #humorsarcástico #murosvemos #reelsinstagram,17,1,4,22
1036844829507460_122143973169072582,2026-08-02T03:38:39+00:00,2026-08-01T21:38:39-06:00,2026-08-01,21.633333333333333,Saturday,CRAWWWWWWW. A veces el único lenguaje honesto es un grito al vacío antes de dormir. #UniverseSentMe #HumorAbsurdo #GritoAlVacio #CierreDeDia,4,0,0,4
1036844829507460_122144406357072582,2026-08-02T16:30:17+00:00,2026-08-02T10:30:17-06:00,2026-08-02,10.5,Sunday,"Una vez muerta la idealización, solo eres cualquier persona... #UniverseSentMe #WilfredUSM",41,1,15,57
1036844829507460_122144447307072582,2026-08-02T22:54:20+00:00,2026-08-02T16:54:20-06:00,2026-08-02,16.9,Sunday,Hay abrazos que se sostienen de algo que ya no está del todo aquí. 🤍 Ghost of you. 👻 #UniverseSentMe #MaeveUSM #FantasmaUSM #GhostOfYou #Nostalgia #FYP,17,2,4,23
1036844829507460_122144451489072582,2026-08-03T00:09:02+00:00,2026-08-02T18:09:02-06:00,2026-08-02,18.15,Sunday,"Que quede claro: adulto sí, pero no todos los días, ¿va? 😎☁️ #UniverseSentMe #AdultingMemes #NoMamenMemes #HumorMexicano #MemesRelatable #FYP #UniverseUSM",173,1,66,240
1036844829507460_122144456367072582,2026-08-03T02:10:02+00:00,2026-08-02T20:10:02-06:00,2026-08-02,20.166666666666668,Sunday,No todo silencio incomoda. Algunos se sienten como estar exactamente donde debes estar. #UniverseSentMe #SilencioReconfortante #Compañía #MemesConAlma #Reflexion #FYP #EvanUSM #KiriUSM,7,1,1,9
1036844829507460_122144459607072582,2026-08-03T03:23:56+00:00,2026-08-02T21:23:56-06:00,2026-08-02,21.383333333333333,Sunday,Hay conversaciones que no llegan a ningun lado 👻 🐱 Universe lo intentó. ¿A quien le tienes que explicar tu vida como tres veces porque sigue atorado en el mismo tema? 👇 #UniverseSentMe #FantasmaUSM #memesen español #relatable #̤c̤o̤m̤e̤d̤y̤r̤e̤e̤l̤s̤,8,1,0,9
1036844829507460_122144611341072582,2026-08-03T15:30:03+00:00,2026-08-03T09:30:03-06:00,2026-08-03,9.5,Monday,"Cada personaje ha manifestado su propia baraja, una extensión de su energía y su lugar en el cosmos. 🃏✨ Desde la precisión mecánica de #UniverseUSM hasta el caos vibrante de Silvio, ¿cuál crees que tiene las respuestas que buscas? Dinos en los comentarios qué baraja te atrae más y te diremos qué significa. #UniverseSentMe #SilvioUSM #ElaraUSM #WilfredUSM #KiriUSM #FantasmaUSM",10,4,2,16
1036844829507460_122144684943072582,2026-08-03T21:00:01+00:00,2026-08-03T15:00:01-06:00,2026-08-03,15.0,Monday,𝑳𝒖𝒏𝒆𝒔 𝒅𝒆 𝒆𝒏𝒇𝒐𝒒𝒖𝒆. No olvides la santísima trinidad para sobrevivir a la semana con estilo. 🕶️✨ - Ser la vrg. - Andar bien vrg. - Que te valga vrg. (La más importante). ¿𝑬𝒏 𝒄𝒖𝒂́𝒍 𝒅𝒆 𝒍𝒂𝒔 𝒕𝒓𝒆𝒔 𝒂𝒏𝒅𝒂𝒔 𝒉𝒐𝒚? Déjalo en los comentarios. 👇 #UniverseSentMe #UniverseElGato #FilosofiaDeLunes #HumorAcido #Actitud,1111,5,586,1702
1036844829507460_122144694213072582,2026-08-04T02:00:08+00:00,2026-08-03T20:00:08-06:00,2026-08-03,20.0,Monday,"𝑲𝒊𝒓𝒊 no acepta lo ordinario, y tú tampoco deberías. ✨🦋 Hay un mundo entero de posibilidades entre lo que ves y lo que imaginas. Comparte si hoy también eliges creer en la magia. #UniverseSentMe #KiriUSM #MagiaReal #etherealaesthetic #manifestacion #sueños #fantasyart",286,4,107,397
1036844829507460_122144700573072582,2026-08-04T02:27:50+00:00,2026-08-03T20:27:50-06:00,2026-08-03,20.45,Monday,"Dicen que si te sales de la realidad en el lugar equivocado, terminas aquí. Fantasma no se perdió, su lógica de supervivencia lo llevó al espacio liminal definitivo. 👻🚪 Etiqueta a esa persona que vive ""glitcheada"" entre el pasado y el presente. #UniverseSentMe #FantasmaUSM #Backrooms #LiminalSpaces #GlitchCore",15,2,3,20
