post_id,created_time,permalink_url,message,reactions,comments,shares,interactions,attachment_count,matched_drive_id,matched_filename,phash_distance,dhash_distance,match_score,match_status
1036844829507460_122125190061072582,2026-05-31T23:10:02+0000,https://www.facebook.com/122146890051072582/posts/122125190061072582,😏😏😏,0,0,0,0,1,1HCMDFosjixMX34oJNCD2RPA26tlA7hUC,260670 - Universe.png,0,0,0.0,Confirmed_Image_Likely
1036844829507460_122125187709072582,2026-05-31T22:00:11+0000,https://www.facebook.com/122146890051072582/posts/122125187709072582,,0,0,0,0,1,1myDYotfWm0O5HyZhqjOyaR8kZDTjq6tN,260653 - Elara.png,0,0,0.0,Confirmed_Image_Likely
1036844829507460_122125185207072582,2026-05-31T21:00:21+0000,https://www.facebook.com/122146890051072582/posts/122125185207072582,Envía este michi 😏  #UniverseSentMe #Fblifestyle #rockstar,5,1,0,6,1,1Jo-NLnIFPqyZ0Q9DnTopxJ2b89wr8aj3,Universe - Existencial 622.png,0,0,0.0,Confirmed_Image_Likely
1036844829507460_122125179747072582,2026-05-31T19:25:57+0000,https://www.facebook.com/122146890051072582/posts/122125179747072582,El cigarro al menos trae una advertencia en la caja. 😝 Algunas personas no...  #DiaInternacionalSinTabaco #díasintabaco   #destiny #insight #relatable #Fblifestyle #HumorAcido  Universe Sent Me,0,0,0,0,1,1ZdjqOt1mY7S3PUK3bSpOAFx75PbepI1G,260615 - Wilfred.png,21,28,30.8,Review_Image
1036844829507460_122125178583072582,2026-05-31T19:06:47+0000,https://www.facebook.com/reel/1007452508604299/,Acaricia mi alma...    #UniverseSentMe #rockstar #fblifestyle #Zoe,9,0,1,10,1,1oHFdnacgm2AMsaN5Sc3UdeD_Q67F3WG5,Universe - Existencial 260637.png,20,32,31.2,Review_Image
1036844829507460_122125177893072582,2026-05-31T19:02:02+0000,https://www.facebook.com/122146890051072582/posts/122125177893072582,🥴🥴🥴,0,0,0,0,1,1EtkxIlkP94oR2UDc03JmNqRhonFfqFNR,260660 - Maeve.png,0,0,0.0,Confirmed_Image_Likely
1036844829507460_122125170933072582,2026-05-31T17:27:50+0000,https://www.facebook.com/122146890051072582/posts/122125170933072582,,0,0,0,0,1,1atiwwAHQ0ZJzg-CLObjBux8XpcckVnTH,260658.png,2,1,2.35,Confirmed_Image_Likely
1036844829507460_122125167639072582,2026-05-31T16:17:03+0000,https://www.facebook.com/122146890051072582/posts/122125167639072582,,6,2,1,9,1,1Q6tj-xKLWDPvxSsIRVPk17Q8D60LsAPK,260659 - Universe.png,0,1,0.35,Confirmed_Image_Likely
1036844829507460_122125163289072582,2026-05-31T15:12:02+0000,https://www.facebook.com/122146890051072582/posts/122125163289072582,🫣🫣😣 aiuda...,1,0,0,1,1,1X8KZ5G0OgLlHSA0iGQ1K0xwbwFn3BESQ,260645 - Universe.png,0,1,0.35,Confirmed_Image_Likely
1036844829507460_122125158675072582,2026-05-31T13:51:36+0000,https://www.facebook.com/122146890051072582/posts/122125158675072582,Volví tonotos,3,1,0,4,1,10sXn7ou_APAzPIeFskDOHj6H_386MHh9,260668.png,0,0,0.0,Confirmed_Image_Likely
