rank,filename,posts_matched,max_interactions,median_interactions,total_interactions,max_reactions,max_comments,max_shares,first_seen,last_seen,best_post_id,best_permalink,selection_status
1,260633 - Universe.png,1,14,14.0,14,11,1,2,2026-05-23T15:23:30+0000,2026-05-23T15:23:30+0000,1036844829507460_122123199435072582,https://www.facebook.com/122146890051072582/posts/122123199435072582,Top28_Reuse_Candidate
2,260642 - Universe+Wilfred.png,1,12,12.0,12,9,1,2,2026-05-30T15:24:06+0000,2026-05-30T15:24:06+0000,1036844829507460_122124931461072582,https://www.facebook.com/122146890051072582/posts/122124931461072582,Top28_Reuse_Candidate
3,260528 - Universe.png,2,11,8.5,17,8,2,1,2026-05-09T04:00:35+0000,2026-05-09T15:37:34+0000,1036844829507460_122119022541072582,https://www.facebook.com/122146890051072582/posts/122119022541072582,Top28_Reuse_Candidate
4,260644 - Universe.png,1,10,10.0,10,7,2,1,2026-05-30T14:16:59+0000,2026-05-30T14:16:59+0000,1036844829507460_122124927519072582,https://www.facebook.com/122146890051072582/posts/122124927519072582,Top28_Reuse_Candidate
5,260515 - Universe.png,1,10,10.0,10,6,3,1,2026-05-05T21:44:38+0000,2026-05-05T21:44:38+0000,1036844829507460_122118254373072582,https://www.facebook.com/122146890051072582/posts/122118254373072582,Top28_Reuse_Candidate
6,260560 - Fantasma.png,2,10,5.5,11,6,0,4,2026-05-14T04:29:41+0000,2026-05-28T02:05:11+0000,1036844829507460_122124445011072582,https://www.facebook.com/122146890051072582/posts/122124445011072582,Top28_Reuse_Candidate
7,260659 - Universe.png,1,9,9.0,9,6,2,1,2026-05-31T16:17:03+0000,2026-05-31T16:17:03+0000,1036844829507460_122125167639072582,https://www.facebook.com/122146890051072582/posts/122125167639072582,Top28_Reuse_Candidate
8,260508 - Universe.jpg,1,9,9.0,9,7,2,0,2026-05-01T18:53:40+0000,2026-05-01T18:53:40+0000,1036844829507460_122117393139072582,https://www.facebook.com/122146890051072582/posts/122117393139072582,Top28_Reuse_Candidate
9,260635 - Universe.png,2,9,6.0,12,7,1,1,2026-05-22T05:47:12+0000,2026-05-28T16:09:02+0000,1036844829507460_122124494049072582,https://www.facebook.com/122146890051072582/posts/122124494049072582,Top28_Reuse_Candidate
10,260614 - Universe.png,1,8,8.0,8,6,0,2,2026-05-23T02:08:26+0000,2026-05-23T02:08:26+0000,1036844829507460_122122824549072582,https://www.facebook.com/122146890051072582/posts/122122824549072582,Top28_Reuse_Candidate
11,260589.png,1,8,8.0,8,4,4,0,2026-05-18T03:10:57+0000,2026-05-18T03:10:57+0000,1036844829507460_122120887443072582,https://www.facebook.com/122146890051072582/posts/122120887443072582,Top28_Reuse_Candidate
12,260510 - Universe.png,1,8,8.0,8,7,1,0,2026-05-05T01:00:06+0000,2026-05-05T01:00:06+0000,1036844829507460_122117751393072582,https://www.facebook.com/122146890051072582/posts/122117751393072582,Top28_Reuse_Candidate
13,Universe - Existencial 260508.png,1,8,8.0,8,8,0,0,2026-05-04T19:46:05+0000,2026-05-04T19:46:05+0000,1036844829507460_122117731467072582,https://www.facebook.com/122146890051072582/posts/122117731467072582,Top28_Reuse_Candidate
14,260625.png,1,7,7.0,7,5,0,2,2026-05-22T15:15:03+0000,2026-05-22T15:15:03+0000,1036844829507460_122122781583072582,https://www.facebook.com/122146890051072582/posts/122122781583072582,Top28_Reuse_Candidate
15,260518 - Kael.png,1,7,7.0,7,6,1,0,2026-05-06T03:51:42+0000,2026-05-06T03:51:42+0000,1036844829507460_122118353007072582,https://www.facebook.com/122146890051072582/posts/122118353007072582,Top28_Reuse_Candidate
16,260607 - Universe.png,1,6,6.0,6,4,1,1,2026-05-21T17:49:18+0000,2026-05-21T17:49:18+0000,1036844829507460_122122145103072582,https://www.facebook.com/122146890051072582/posts/122122145103072582,Top28_Reuse_Candidate
17,Universe - Existencial 622.png,1,6,6.0,6,5,1,0,2026-05-31T21:00:21+0000,2026-05-31T21:00:21+0000,1036844829507460_122125185207072582,https://www.facebook.com/122146890051072582/posts/122125185207072582,Top28_Reuse_Candidate
18,260613 - Wilfred.png,1,6,6.0,6,6,0,0,2026-05-21T21:38:54+0000,2026-05-21T21:38:54+0000,1036844829507460_122122159311072582,https://www.facebook.com/122146890051072582/posts/122122159311072582,Top28_Reuse_Candidate
19,260620 - Fantasma.png,1,5,5.0,5,3,0,2,2026-05-27T02:01:02+0000,2026-05-27T02:01:02+0000,1036844829507460_122124367017072582,https://www.facebook.com/122146890051072582/posts/122124367017072582,Top28_Reuse_Candidate
20,260540 - Elara.png,2,5,5.0,10,4,1,2,2026-05-11T21:20:02+0000,2026-05-21T19:07:04+0000,1036844829507460_122122150101072582,https://www.facebook.com/122146890051072582/posts/122122150101072582,Top28_Reuse_Candidate
21,260573 - Universe.png,1,5,5.0,5,3,0,2,2026-05-15T03:00:45+0000,2026-05-15T03:00:45+0000,1036844829507460_122120563947072582,https://www.facebook.com/122146890051072582/posts/122120563947072582,Top28_Reuse_Candidate
22,260542 - Universe.png,1,5,5.0,5,4,0,1,2026-05-09T21:20:03+0000,2026-05-09T21:20:03+0000,1036844829507460_122119047297072582,https://www.facebook.com/122146890051072582/posts/122119047297072582,Top28_Reuse_Candidate
23,260543 - Evan.png,1,5,5.0,5,5,0,0,2026-05-10T00:58:02+0000,2026-05-10T00:58:02+0000,1036844829507460_122119060353072582,https://www.facebook.com/122146890051072582/posts/122119060353072582,Top28_Reuse_Candidate
24,260527 - Universe.png,1,5,5.0,5,4,1,0,2026-05-08T02:00:30+0000,2026-05-08T02:00:30+0000,1036844829507460_122118739911072582,https://www.facebook.com/122146890051072582/posts/122118739911072582,Top28_Reuse_Candidate
25,741 - Elara+Maeve.png,1,5,5.0,5,5,0,0,2026-05-02T02:02:03+0000,2026-05-02T02:02:03+0000,1036844829507460_122117421531072582,https://www.facebook.com/122146890051072582/posts/122117421531072582,Top28_Reuse_Candidate
26,260559 - Universe.png,2,5,3.0,6,2,0,3,2026-05-12T19:05:03+0000,2026-05-16T21:20:00+0000,1036844829507460_122119761573072582,https://www.facebook.com/122146890051072582/posts/122119761573072582,Top28_Reuse_Candidate
27,260650 - Universe.png,1,4,4.0,4,3,0,1,2026-05-31T00:13:05+0000,2026-05-31T00:13:05+0000,1036844829507460_122124960891072582,https://www.facebook.com/122146890051072582/posts/122124960891072582,Top28_Reuse_Candidate
28,260590 - Maeve.png,1,4,4.0,4,3,0,1,2026-05-18T05:04:54+0000,2026-05-18T05:04:54+0000,1036844829507460_122120959611072582,https://www.facebook.com/122146890051072582/posts/122120959611072582,Top28_Reuse_Candidate
