Publicacion_ID,ID_Pieza,Asset_Ref,Plataforma,Cuenta_ID,Fecha_Planeada_Local,Hora_Planeada_Local,Fecha_Publicacion_Local,Hora_Publicacion_Local,Meta_Post_ID,Meta_Photo_ID,IG_Container_ID,IG_Media_ID,Permalink,Estado_Publicacion,Eliminada,Drive_Archivado,Experiment_ID,Hypothesis_ID,Interacciones_24h,Interacciones_72h,Notas,Fuente
PUB-FB-15_16-01,,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,Facebook,1036844829507460,2026-08-15,10:00,,,1036844829507460_122150559441072582,122150559393072582,,,,Programada,No,"08 Agosto — original movido, sin copia",EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,,,Facebook programado; métricas se completan después de la extracción de 24/72 horas.,Operations/Research/2026-08-15_Calendario_15_16_Agosto.csv
PUB-FB-15_16-02,,260583 - Universe.png,Facebook,1036844829507460,2026-08-15,11:00,,,1036844829507460_122150559591072582,122150559555072582,,,,Programada,No,"08 Agosto — original movido, sin copia",EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,,,Facebook programado; métricas se completan después de la extracción de 24/72 horas.,Operations/Research/2026-08-15_Calendario_15_16_Agosto.csv
PUB-IG-TEST-02,,260583 - Universe.png,Instagram,17841462696378190,2026-08-15,11:00,2026-08-14T23:19:29-06:00,,,,17976335523089880,18105410684129991,https://www.instagram.com/p/DcDHxq5AMHh/,Eliminada_Manualmente,Sí,"08 Agosto — original movido, sin copia",EXP-2026-08-IG-TEST-01,,,,Prueba controlada publicada y eliminada manualmente; prohibida la republicación automática.,Operations/Research/2026-08-15_Calendario_15_16_Agosto.csv
PUB-FB-15_16-03,,2608033 - Fantasma - vendra primero mi boda o jesus.jpeg,Facebook,1036844829507460,2026-08-15,13:30,,,1036844829507460_122150559693072582,122150559639072582,,,,Programada,No,"08 Agosto — original movido, sin copia",EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,,,Facebook programado; métricas se completan después de la extracción de 24/72 horas.,Operations/Research/2026-08-15_Calendario_15_16_Agosto.csv
PUB-FB-15_16-04,,260539 - Evan+Kiri.png,Facebook,1036844829507460,2026-08-15,19:00,,,1036844829507460_122150559765072582,122150559729072582,,,,Programada,No,"08 Agosto — original movido, sin copia",EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,,,Facebook programado; métricas se completan después de la extracción de 24/72 horas.,Operations/Research/2026-08-15_Calendario_15_16_Agosto.csv
PUB-FB-15_16-05,,2608037- Universe - soñe que era un litrro de agua.jpeg,Facebook,1036844829507460,2026-08-16,10:00,,,1036844829507460_122150559873072582,122150559807072582,,,,Programada,No,"08 Agosto — original movido, sin copia",EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,,,Facebook programado; métricas se completan después de la extracción de 24/72 horas.,Operations/Research/2026-08-15_Calendario_15_16_Agosto.csv
PUB-FB-15_16-06,,260673 - Universe.png,Facebook,1036844829507460,2026-08-16,13:30,,,1036844829507460_122150559981072582,122150559921072582,,,,Programada,No,"08 Agosto — original movido, sin copia",EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,,,Facebook programado; métricas se completan después de la extracción de 24/72 horas.,Operations/Research/2026-08-15_Calendario_15_16_Agosto.csv
PUB-FB-15_16-07,,2608036- Elara+Evan - Nadie nos soporta.jpeg,Facebook,1036844829507460,2026-08-16,16:00,,,1036844829507460_122150560083072582,122150560041072582,,,,Programada,No,"08 Agosto — original movido, sin copia",EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,,,Facebook programado; métricas se completan después de la extracción de 24/72 horas.,Operations/Research/2026-08-15_Calendario_15_16_Agosto.csv
PUB-FB-15_16-08,,2608060 - Kael+Maeve - gustos salvajones.jpeg,Facebook,1036844829507460,2026-08-16,19:00,,,1036844829507460_122150560215072582,122150560143072582,,,,Programada,No,"08 Agosto — original movido, sin copia",EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,,,Facebook programado; métricas se completan después de la extracción de 24/72 horas.,Operations/Research/2026-08-15_Calendario_15_16_Agosto.csv
PUB-FB-15_16-09,,humor4.16.png,Facebook,1036844829507460,2026-08-16,22:00,,,1036844829507460_122150560383072582,122150560341072582,,,,Programada,No,"08 Agosto — original movido, sin copia",EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,,,Facebook programado; métricas se completan después de la extracción de 24/72 horas.,Operations/Research/2026-08-15_Calendario_15_16_Agosto.csv
