asset_ref,filename,drive_id,source_parent_id,target_folder_id,target_folder_name,calendar_date,calendar_time,operation,copy_allowed,status,move_timing
2608028,2608028 - Universe -  El amor esta en todos lados.png,1OMQislufbj5TEThH37s0GnpirN2ffwuy,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-17,11:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608034,2608034- Elara - uno debe ser chismoso.jpeg,1jkOakhil7LbJVHxHPvx8Alladlc5W8XT,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-17,13:30,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608027,2608027.jpeg,1CRelpkyI-Y9zdp8qQ2kGBDCdX3XlD9VL,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-17,17:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608029,2608029 - Wilfred - Quiero loquiar.jpeg,1hmJCzpO7HFnRB3vs0cxVoFglhcfYtQN7,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-17,19:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608038,2608038- Ganso - Mejor pudriendome en dinero.jpeg,1Xk_RJhy4AyMfLGYMC0f1SU1XX8fLy0Yx,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-20,11:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608046,2608046 - Universe - Mis firmas no se parecen.jpeg,1PNkHfF94nsAWjERNaR_hrJr8xSCOJFNf,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-18,11:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608050,2608050 - Universe - A ponerse en forma.jpeg,1B9GdRzUTIJOIBOJrgoQ0DYKToP3ei27b,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-22,10:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608052,2608052 - Evan - Yo confiando en Google Maps.jpeg,1xjqD0PgX-Q42RAIEmfJu9H3RvNDWwU73,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-18,16:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608032,2608032 - Kiri - Para romper el echizo tendras que besarla en los labios.jpeg,1PshndH_yv6QFmQeM7sMxpx9E6X2c0Ph6,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-18,19:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608061,2608061 - Fantasma - acaso parezco alguien que quiere ser genial.jpeg,1TSf7ylzn8M14gNqUg87ARDcejBo3m6GK,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-19,11:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608031,2608031 - Maeve+Silvio - Risas falsas.jpeg,1ObiaHe3HCIXb1rAsjTm75kiE0VWkZq7f,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-19,16:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
2608035,2608035- Maeve - La necesidad de enloquecer.jpeg,1WBg2eRAYY-ihxyByC51lznBtdvklLA0_,1b0FRf8BFg2fIUoIf5CeMeiQb3uDduWcZ,11nuEUoU2Or8uc0oxXLu7-k6LChk8zQNf,08 Agosto,2026-08-23,10:00,MOVE_ONLY,NO,MOVED_MANUALLY_VERIFIED,AFTER_FACEBOOK_PROGRAMMING
