Accion,Asset_Ref,Archivo,Drive_ID,Origen,Origen_Folder_ID,Slot_Actual,Slot_Propuesto,Tipo_Actual,Tipo_Propuesto,Razon,Caption_Propuesto,Instagram_Decision,Estado_Aprobacion
ADD_REUSE,260646,260646 - No sean asi.. (14-jun-26).png,1uEnhVN6M0LLIreuZTJdsIKkNkmyiCI3T,June_Top,16P130zWhuFn4ejzkr6VlX9GFA_Ule83k,,2026-08-18 10:00,,Reuse_Top,Contexto de rutina/trabajo; apropiado para mañana.,🎢😵‍💫💼 #MemesUSM #UniverseSentMe,FB primero,Pendiente aprobación de Fernando
ADD_REUSE,260735,260735 - Universe - dentro de ti hay dos payasos (10-jun-26).png,1ZmJrhaJFpF3_R9prrCV6u8wyOt9GkWH0,June_Top,16P130zWhuFn4ejzkr6VlX9GFA_Ule83k,,2026-08-18 13:30,,Reuse_Top,Absurdismo visual claro; franja diurna.,🤡🐱💥 #UniverseUSM #MemesUSM #UniverseSentMe,FB primero,Pendiente aprobación de Fernando
ADD_REUSE,260733,260733 - Evan - Yo aura fuerte (10-jun-26).png,1H5FGtTmz9rJtVWZqzmyR12gnb7LlBDUO,June_Top,16P130zWhuFn4ejzkr6VlX9GFA_Ule83k,,2026-08-19 17:00,,Reuse_Top,Reflexivo/afectivo; tarde.,🌈💔🫶 #UniverseUSM #MomentosUSM #UniverseSentMe,FB primero,Pendiente aprobación de Fernando
ADD_REUSE,2607794,2607794 - Universe - Aver.. A ver... (22-jun-26).png,1NzGQgxa38avO_jp14x7eRTzoaRutv9IW,June_Top,16P130zWhuFn4ejzkr6VlX9GFA_Ule83k,,2026-08-20 10:00,,Reuse_Top,Humor relatable/reflexivo; mañana.,😳🧠🐱 #UniverseUSM #MemesUSM #UniverseSentMe,FB primero,Pendiente aprobación de Fernando
ADD_REUSE,2607838,2607838 - Dios - Quien me creo a mi (29-jun-26).png,19Yk1HkueUl4HSZPS2ruxj_AFYEDFO4P0,June_Top,16P130zWhuFn4ejzkr6VlX9GFA_Ule83k,,2026-08-21 10:00,,Reuse_Top,Pregunta existencial evergreen; mañana.,☁️✨🤔 #MomentosUSM #UniverseSentMe,FB primero,Pendiente aprobación de Fernando
ADD_REUSE,260757,260757 - Maeve - Estas seguro¿ (14-jun-26).png,1P8GwAgZGb_zvyJv2mdYYBFcj32JFbo0T,June_Top,16P130zWhuFn4ejzkr6VlX9GFA_Ule83k,,2026-08-23 19:00,,Reuse_Top,Doble sentido sexual; reservar para noche.,😳🛏️🔥 #MaeveUSM #MemesUSM #UniverseSentMe,FB primero,Pendiente aprobación de Fernando
ADD_REUSE,2607825,2607825 - Kael - Ser el malo de la historia (28-jun-26).png,1sJxr-1-NnLFn4Q2Tl1lUB-_QJQmUB5n3,June_Top,16P130zWhuFn4ejzkr6VlX9GFA_Ule83k,,2026-08-24 19:00,,Reuse_Top,Humor ácido con Kael; franja nocturna.,😈🚲🫣 #KaelUSM #MemesUSM #UniverseSentMe,FB primero,Pendiente aprobación de Fernando
ADD_REUSE,2607792,2607792 - fantasma+Universe - El gato ;o (21-jun-26).jpeg,1dYQ2ymvaqEC3P1S96TqrFBOXexYXDT8E,June_Top,16P130zWhuFn4ejzkr6VlX9GFA_Ule83k,,2026-08-25 13:30,,Reuse_Top,Interacción afectiva Fantasma/Universe; franja diurna flexible.,👻🐱💬 #FantasmaUSM #MemesUSM #UniverseSentMe,FB primero,Pendiente aprobación de Fernando
ADD_REUSE,260571,260571 - Kiri.png,1l8b7NwW2kZfC8TnG3OGlEWRCGOpaa6q7,May_Reserve,152ylWM4aSBy0F1yNVVh1s0gT9MDp8wJF,,2026-08-27 10:00,,Reuse_Reserve,Humor de estrés cotidiano; mañana.,😵‍💫🧹💥 #KiriUSM #MemesUSM #UniverseSentMe,FB primero,Pendiente aprobación de Fernando
ADD_REUSE,260550,260550 - Universe.png,16P7UK_3ecK9PFc7uyemgp4OuuQEBXk81,May_Reserve,152ylWM4aSBy0F1yNVVh1s0gT9MDp8wJF,,2026-08-28 11:00,,Reuse_Reserve,Humor cotidiano sobre ejercicio/comida; media mañana.,🍟🏋️‍♂️😵 #UniverseUSM #MemesUSM #UniverseSentMe,FB primero,Pendiente aprobación de Fernando
ADD_REUSE,260617,260617 - Elara+Kael.png,1xcQiKkH9NfgBoVrRfLmdhSBV2ShoXMq3,May_Reserve,152ylWM4aSBy0F1yNVVh1s0gT9MDp8wJF,,2026-08-30 19:00,,Reuse_Reserve,Escena afectiva nocturna junto a fogata; domingo noche.,🔥☕🏕️ #ElaraUSM #KaelUSM #UniverseSentMe,FB primero,Pendiente aprobación de Fernando
MOVE_NEW,2608038,2608038- Ganso - Mejor pudriendome en dinero.jpeg,,Nueva_35_Approved,,2026-08-18 10:00,2026-08-20 11:00,Nueva,Nueva,Conservar el asset nuevo y liberar el slot matutino para reuse.,,FB primero,Pendiente aprobación de Fernando
MOVE_NEW,2608050,2608050 - Universe - A ponerse en forma.jpeg,,Nueva_35_Approved,,2026-08-18 13:30,2026-08-22 10:00,Nueva,Nueva,Conservar el contexto de automejora en mañana de sábado.,,FB primero,Pendiente aprobación de Fernando
MOVE_NEW,2608035,2608035- Maeve - La necesidad de enloquecer.jpeg,,Nueva_35_Approved,,2026-08-19 17:00,2026-08-23 10:00,Nueva,Nueva,Conservar la pieza nueva y usar domingo matutino como slot de descubrimiento.,,FB primero,Pendiente aprobación de Fernando
MOVE_NEW,2608048,2608048 - Universe - Inalcanzable para todos.jpeg,,Nueva_35_Approved,,2026-08-20 10:00,2026-08-24 13:30,Nueva,Nueva,Contexto de coqueteo ligero adecuado para mediodía.,,FB primero,Pendiente aprobación de Fernando
MOVE_NEW,2607831,Universe - Existencial 2607831.png,,Nueva_35_Approved,,2026-08-21 10:00,2026-08-25 10:00,Nueva,Nueva,Humor absurdo con Kiri; conservarlo en media mañana.,,FB primero,Pendiente aprobación de Fernando
MOVE_NEW,2608042,2608042 - Maeve+kael - Te quiero besiquiar.jpeg,,Nueva_35_Approved,,2026-08-23 19:00,2026-08-27 11:00,Nueva,Nueva,Romance afectivo; moverlo a media mañana solo como slot experimental, sujeto a aprobación editorial.,,FB primero,Pendiente aprobación de Fernando
MOVE_NEW,2608045,2608045 - Kiri+Evan - No te voy a mentir.jpeg,,Nueva_35_Approved,,2026-08-24 19:00,2026-08-29 10:00,Nueva,Nueva,Frase conversacional; media mañana de sábado.,,FB primero,Pendiente aprobación de Fernando
MOVE_NEW,2608054,2608054 - Maeve - Salgamos a hablar de todo.jpeg,,Nueva_35_Approved,,2026-08-30 19:00,2026-08-30 10:00,Nueva,Nueva,Romance conversacional; domingo matutino requiere aprobación explícita.,,FB primero,Pendiente aprobación de Fernando
