meta_id,asset_ref,asset_raw,date,hour,weekday,format,characters,interactions,reactions,comments,shares,caption
1036844829507460_122125531995072582,260696,Universe - Existencial 260696,2026-06-01,11,Monday,Imagen,Universe,8,7,1,0,y tambien sigan la pagina... 👊 #UniverseSentMe #UAP #uap
1036844829507460_122125539447072582,260647,Universe - Existencial 260647,2026-06-01,13,Monday,Imagen,Universe,7,6,1,0,No es mi pedo... 🤷‍♂️
1036844829507460_122125544763072582,260678,Universe - Existencial 260678,2026-06-01,14,Monday,Imagen,Universe,14,10,2,2,vamos a walmar preciosa...
1036844829507460_122125549929072582,260698,Universe - Existencial 260698,2026-06-01,16,Monday,Imagen,Universe,5,4,1,0,Niegalo... a ver... te reto a que sigas la pagina 🤪 Universe Sent Me #UniverseSentMe #relatable #DespertarCosmico #gatitos #aesthetic
1036844829507460_122125632579072582,260710,Universe - Existencial 260710,2026-06-01,18,Monday,Imagen,Universe,2,1,1,0,Admito que la terapia probablemente sea una mejor inversión. Pero las mini novelas tienen finales más rápidos. 🤭 Si quieres caer en este agujero de drama conmigo: 👇 https://apiv2.free-reels.com/frv2-api/l/2si22vlOp56 @UniverseSentMe
1036844829507460_122125638237072582,260677,Universe - Existencial 260677,2026-06-01,19,Monday,Imagen,Universe,2,0,0,2,Cosas que te dan sensación de poder...
1036844829507460_122125642935072582,260697,Universe - Existencial 260697,2026-06-01,20,Monday,Imagen,Universe,7,6,1,0,Soñé que nos seguías... 🫣
1036844829507460_122125649037072582,260688,Universe - Existencial 260688,2026-06-01,23,Monday,Imagen,Universe,2,2,0,0,#Rockstar #aesthetic #illustration #AdultoFuncional #PazMental #EvolucionPersonal #universesentme
1036844829507460_122125879395072582,260690,Universe - Existencial 260690,2026-06-02,10,Tuesday,Imagen,Universe,7,5,1,1,es anemia... :´c
1036844829507460_122125889343072582,260662,Universe - Existencial 260662,2026-06-02,12,Tuesday,Imagen,Universe,7,6,1,0,a mi pónganme unos de Pastor... 🤤🤤🤤 #AdultoFuncional #ReflexionDiaria #universesentme #tacos
1036844829507460_122125899687072582,260703,Universe - Existencial 260703,2026-06-02,14,Tuesday,Imagen,Universe,0,0,0,0,😍
1036844829507460_122125904103072582,260679,Universe - Existencial 260679,2026-06-02,16,Tuesday,Imagen,Universe,6,5,1,0,"Hola, HDLV! 😋 espero que hoy si nos sigan 🙂"
1036844829507460_122125909929072582,260691,Universe - Existencial 260691,2026-06-02,17,Tuesday,Imagen,Universe,4,3,1,0,🤪
1036844829507460_122125913145072582,260694,Universe - Existencial 260694,2026-06-02,19,Tuesday,Imagen,Universe,2,1,0,1,Dejen de humanizar a sus gatos. 🐈 #catlife #Fblifestyle #relatable #UniverseSentMe #gatito #gathijo
1036844829507460_122125915659072582,260689,Universe - Existencial 260689,2026-06-02,20,Tuesday,Imagen,Universe,2,2,0,0,🥴
