hour,posts,interactions,avg_interactions,reactions,comments,shares
11,10,2459,245.9,1733,19,707
21,13,2795,215.0,2297,55,443
19,18,2833,157.38888888888889,2020,61,752
13,11,1542,140.1818181818182,1206,50,286
10,14,1780,127.14285714285714,1452,30,298
23,10,1137,113.7,854,18,265
18,11,968,88.0,786,29,153
15,11,950,86.36363636363636,630,23,297
17,13,807,62.07692307692308,670,21,116
16,14,860,61.42857142857143,645,28,187
12,11,598,54.36363636363637,440,20,138
9,2,71,35.5,47,2,22
22,8,220,27.5,176,9,35
0,3,55,18.333333333333332,36,4,15
14,6,77,12.833333333333334,59,3,15
20,14,167,11.928571428571429,139,10,18
1,2,14,7.0,7,2,5
8,1,1,1.0,1,0,0
