asset_ref,asset_raw,facebook_photo_id,photo_created_time,photo_link,meta_publication_id,publication_caption,visual_hamming_distance,same_date,mapping_status,cnt_status
260696,Universe - Existencial 260696,122125531851072582,2026-06-01T16:48:49+0000,https://www.facebook.com/photo.php?fbid=122125531851072582&set=a.122095282845072582&type=3,1036844829507460_122125531995072582,y tambien sigan la pagina... 👊 #UniverseSentMe #UAP #uap,4,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260647,Universe - Existencial 260647,122125539429072582,2026-06-01T18:01:03+0000,https://www.facebook.com/photo.php?fbid=122125539429072582&set=a.122095282845072582&type=3,1036844829507460_122125539447072582,No es mi pedo... 🤷‍♂️,2,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260678,Universe - Existencial 260678,122125544751072582,2026-06-01T19:15:03+0000,https://www.facebook.com/photo.php?fbid=122125544751072582&set=a.122095282845072582&type=3,1036844829507460_122125544763072582,vamos a walmar preciosa...,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260698,Universe - Existencial 260698,122125549917072582,2026-06-01T21:14:03+0000,https://www.facebook.com/photo.php?fbid=122125549917072582&set=a.122095282845072582&type=3,1036844829507460_122125549929072582,Niegalo... a ver... te reto a que sigas la pagina 🤪 Universe Sent Me #UniverseSentMe #relatable #DespertarCosmico #gatitos #aesthetic,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260710,Universe - Existencial 260710,122125632477072582,2026-06-01T23:17:04+0000,https://www.facebook.com/photo.php?fbid=122125632477072582&set=a.122095282845072582&type=3,1036844829507460_122125632579072582,Admito que la terapia probablemente sea una mejor inversión. Pero las mini novelas tienen finales más rápidos. 🤭 Si quieres caer en este agujero de drama conmigo: 👇 https://apiv2.free-reels.com/frv2-api/l/2si22vlOp56 @UniverseSentMe,1,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260677,Universe - Existencial 260677,122125638225072582,2026-06-02T00:10:03+0000,https://www.facebook.com/photo.php?fbid=122125638225072582&set=a.122095282845072582&type=3,1036844829507460_122125638237072582,Cosas que te dan sensación de poder...,2,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260697,Universe - Existencial 260697,122125642881072582,2026-06-02T01:30:03+0000,https://www.facebook.com/photo.php?fbid=122125642881072582&set=a.122095282845072582&type=3,1036844829507460_122125642935072582,Soñé que nos seguías... 🫣,0,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260688,Universe - Existencial 260688,122125648917072582,2026-06-02T04:03:47+0000,https://www.facebook.com/photo.php?fbid=122125648917072582&set=a.122095282845072582&type=3,1036844829507460_122125649037072582,#Rockstar #aesthetic #illustration #AdultoFuncional #PazMental #EvolucionPersonal #universesentme,2,False,Visual_Confirmed,Existing CNT or pending CNT assignment
260690,Universe - Existencial 260690,122125879383072582,2026-06-02T15:00:17+0000,https://www.facebook.com/photo.php?fbid=122125879383072582&set=a.122095282845072582&type=3,1036844829507460_122125879395072582,es anemia... :´c,0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260662,Universe - Existencial 260662,122125889187072582,2026-06-02T17:33:05+0000,https://www.facebook.com/photo.php?fbid=122125889187072582&set=a.122095282845072582&type=3,1036844829507460_122125889343072582,a mi pónganme unos de Pastor... 🤤🤤🤤 #AdultoFuncional #ReflexionDiaria #universesentme #tacos,5,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260703,Universe - Existencial 260703,122125899663072582,2026-06-02T19:50:03+0000,https://www.facebook.com/photo.php?fbid=122125899663072582&set=a.122095282845072582&type=3,1036844829507460_122125899687072582,😍,2,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260679,Universe - Existencial 260679,122125904073072582,2026-06-02T21:00:25+0000,https://www.facebook.com/photo.php?fbid=122125904073072582&set=a.122095282845072582&type=3,1036844829507460_122125904103072582,"Hola, HDLV! 😋 espero que hoy si nos sigan 🙂",0,True,Visual_Confirmed,Existing CNT or pending CNT assignment
260691,Universe - Existencial 260691,122125909917072582,2026-06-02T22:59:05+0000,https://www.facebook.com/photo.php?fbid=122125909917072582&set=a.122095282845072582&type=3,1036844829507460_122125909929072582,🤪,2,True,Visual_Confirmed,Existing CNT or pending CNT assignment
