period,role,asset_ref,filename_or_concept,meta_id,date,local_time,format,metric_value,reactions,comments,shares,interactions,priority_score,asset_ref_normalized,personaje_principal_normalizado,tipo_humor_normalizado,potencial_etiquetado
Junio_2026,June top post,2607825,2607825 - Kael - Ser el malo de la historia (28-jun-26).png,1036844829507460_122134136793072582,2026-06-28,2026-06-28T10:42:29-06:00,Unknown_from_dataset,1308,912,4,392,1308,542.8,2607825,Kael,Humor ácido o negro;Existencial o absurdo,Alto
Junio_2026,June top post,2607794,2607794 - Universe - Aver.. A ver... (22-jun-26).png,1036844829507460_122132690157072582,2026-06-22,2026-06-22T10:02:23-06:00,Unknown_from_dataset,975,696,2,277,975,384.5,2607794,Universe,No determinado,Bajo
Junio_2026,June top post,260735,260735 - Universe - dentro de ti hay dos payasos (10-jun-26).png,1036844829507460_122129013585072582,2026-06-10,2026-06-10T14:32:01-06:00,Unknown_from_dataset,785,509,13,263,785,406.5,260735,Universe,No determinado,Bajo
Junio_2026,Published_Asset_VisualConfirmed,260740,Universe - Existencial 260740,1036844829507460_122129214813072582,2026-06-11,,Image,924,696,14,214,924,376.4,260740,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_VisualConfirmed,260747,Universe - Existencial 260747,1036844829507460_122129231601072582,2026-06-11,,Image,547,327,8,212,547,306.7,260747,Universe,Existencial o absurdo,Bajo
Junio_2026,June top post,260733,260733 - Evan - Yo aura fuerte (10-jun-26).png,1036844829507460_122128723341072582,2026-06-09,2026-06-09T20:44:56-06:00,Unknown_from_dataset,1127,896,20,211,1127,423.7,260733,Evan,No determinado,Bajo
Junio_2026,Published_Asset_UserConfirmed,2607837,Universe - Existencial 2607837,1036844829507460_122134374249072582,2026-06-29,,Image,1069,858,11,200,1069,361.9,2607837,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_VisualConfirmed,2607824,Universe - Existencial 2607824,1036844829507460_122134070943072582,2026-06-27,,Image,547,348,0,199,547,253.7,2607824,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_VisualConfirmed,260646 - No sean asi.. (14-jun-26),260646 - No sean asi.. (14-jun-26),1036844829507460_122130287907072582,2026-06-14,,Image,1181,985,8,188,1181,346.1,260646,No identificado,No determinado,Bajo
Junio_2026,Published_Asset_VisualConfirmed,2607828,Universe - Existencial 2607828,1036844829507460_122134161303072582,2026-06-28,,Image,521,333,3,185,521,252.1,2607828,Universe,Existencial o absurdo,Bajo
Junio_2026,June top post,2607792,2607792 - fantasma+Universe - El gato ;o (21-jun-26).jpeg,1036844829507460_122132599809072582,2026-06-21,2026-06-21T20:09:49-06:00,Unknown_from_dataset,1128,999,2,127,1128,249.8,2607792,Universe,No determinado,Bajo
Junio_2026,Published_Asset_VisualConfirmed,2607786,Universe - Existencial 2607786,1036844829507460_122132350563072582,2026-06-20,,Image,351,239,3,109,351,159.1,2607786,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_VisualConfirmed,2607823,Universe - Existencial 2607823,1036844829507460_122134061121072582,2026-06-27,,Image,393,267,27,99,393,273.3,2607823,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_VisualConfirmed,260766,Universe - Existencial 260766,1036844829507460_122130406569072582,2026-06-15,,Image,362,257,11,94,362,185.2,260766,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_VisualConfirmed,2607816,Universe - Existencial 2607816,1036844829507460_122133575895072582,2026-06-26,,Image,393,301,5,87,393,151.3,2607816,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_VisualConfirmed,2607783,Universe - Existencial 2607783,1036844829507460_122132344029072582,2026-06-20,,Image,460,364,11,85,460,186.0,2607783,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_VisualConfirmed,260552,Universe - Existencial 260552,1036844829507460_122134620417072582,2026-06-30,,Image,366,284,5,77,366,138.6,260552,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_VisualConfirmed,2607838 - Dios - Quien me creo a mi (29-jun-26),2607838 - Dios - Quien me creo a mi (29-jun-26),1036844829507460_122134379049072582,2026-06-29,,Image,365,273,17,75,365,196.5,2607838,No identificado,No determinado,Bajo
Junio_2026,Published_Asset_VisualConfirmed,2607787,Universe - Existencial 2607787,1036844829507460_122132365443072582,2026-06-20,,Image,394,321,3,70,394,124.4,2607787,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_UserConfirmed,260757 - Maeve -  Estas seguro¿ (14-jun-26),260757 - Maeve -  Estas seguro¿ (14-jun-26),1036844829507460_122130302793072582,2026-06-14,,Image,529,443,28,58,529,250.9,260757,Maeve,No determinado,Bajo
Junio_2026,Published_Asset_VisualConfirmed,260775,Universe - Existencial 260775,1036844829507460_122131482621072582,2026-06-17,,Image,497,435,9,53,497,147.7,260775,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_VisualConfirmed,260765,Universe - Existencial 260765,1036844829507460_122130411897072582,2026-06-15,,Image,340,294,14,32,340,136.0,260765,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_UserConfirmed,260731,Universe - Existencial 260731,1036844829507460_122128536909072582,2026-06-09,,Image,226,190,10,26,226,98.6,260731,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_VisualConfirmed,260728,Universe - Existencial 260728,1036844829507460_122128196421072582,2026-06-08,,Image,144,116,4,24,144,58.4,260728,Universe,Existencial o absurdo,Bajo
Junio_2026,Published_Asset_VisualConfirmed,2607780,Universe - Existencial 2607780,1036844829507460_122131862643072582,2026-06-19,,Image,55,33,1,21,55,31.5,2607780,Universe,Existencial o absurdo,Bajo
