asset_ref,drive_filename,drive_id,meta_id,shares,comments,personaje_principal_observado,personajes_secundarios_observados,rol_narrativo_observado,tipo_humor_observado,potencial_etiquetado_observado,confianza_visual,estado_reuse,nota_editorial
260740,Universe - Existencial 260740.png,16DxglDxYHu6c0WyV9ENjGpIou2Q2_jFU,1036844829507460_122129214813072582,214,14,Universe,Ninguno,Protagonista,Observacional oscuro / pieza textual,Medio,Alta,Revisar,La pieza compara diagnósticos; requiere revisión de sensibilidad y contexto antes de reuse.
260747,Universe - Existencial 260747.png,1_uJg1dsDjJI-adkew6tgZ4IGxEUDHT_9,1036844829507460_122129231601072582,212,8,Humano no identificado,Ninguno,Protagonista,Ácido / relacional,Medio,Alta,Revisar,No atribuir a personaje canónico por filename.
260731,260731.png,,1036844829507460_122128536909072582,26,10,Humano no identificado,Humano no identificado,Dúo o pareja,Sexual / insinuación,Alto,Media,Revisar,Asset sin match único en Drive; visual observado en hoja de contacto.
260765,Universe - Existencial 260765.png,11XCVJP0j3RBKHkrQv8etQoIl8_UHPv4z,1036844829507460_122130411897072582,32,14,Humano no identificado,Humano no identificado,Dúo o pareja,Sexual / ácido,Alto,Alta,Revisar,No atribuir a Universe por convención de filename.
260766,Universe - Existencial 260766.png,1yS7fGYWteWNZRkmFbE_tnsAGEBs6Uprf,1036844829507460_122130406569072582,94,11,Universe,Ninguno,Protagonista,Sexual / visual,Medio,Alta,Revisar,Universe aparece dividido entre ángel y demonio.
260775,Universe - Existencial 260775.png,1xSd49d4Gr-iFNtRAkGLrnrSyGM7Fkamp,1036844829507460_122131482621072582,53,9,Humano no identificado,Humano no identificado,Dúo o pareja,Relacional / sexual,Alto,Alta,Revisar,No atribuir a personaje canónico por filename.
2607780,Universe - Existencial 2607780.png,19ywODnGlbKWxEXUr3rkEy3wb_bAQA-ww,1036844829507460_122131862643072582,21,1,Wilfred,Ninguno,Protagonista,Ácido,Medio,Alta,Revisar,Wilfred visible leyendo periódico.
2607783,Universe - Existencial 2607783.png,17hXpyaQwjvKAJwx1Yn9jB9YNNHFcDFpl,1036844829507460_122132344029072582,85,11,Humano no identificado,Ninguno,Protagonista,Sexual / ácido,Alto,Alta,Revisar,No atribuir a personaje canónico por filename.
2607786,Universe - Existencial 2607786.png,1uj1AKl-h7LOpaC5xRn-dSfbE_u5Slxpf,1036844829507460_122132350563072582,109,3,Humano no identificado,Ninguno,Protagonista,Dramático / relatable,Medio,Alta,Revisar,Asset visualmente confirmado; personaje no identificado.
2607787,Universe - Existencial 2607787.png,1_GbN_fXvFCIrxfHqRoDMMF505injvLTF,1036844829507460_122132365443072582,70,3,Universe,Fantasma,Dúo,Conversacional / ácido,Alto,Alta,Revisar,Universe y Fantasma dialogan en la misma pieza.
2607816,Universe - Existencial 2607816.jpeg,1Vfb08MN_QjWGHghs8dH_ct67QxvKdAwx,1036844829507460_122133575895072582,87,5,Universe,Ninguno,Protagonista,Observacional / ácido,Medio,Alta,Revisar,Universe visible; texto social.
2607823,Universe - Existencial 2607823.jpeg,12MKuMOEZdxvEsKqQPGXgjzwUP9ymnsRm,1036844829507460_122134061121072582,99,27,Universe,Ninguno,Protagonista,Sexual / relacional,Alto,Alta,Revisar,La conversación puede favorecer análisis de comentarios.
2607824,Universe - Existencial 2607824.jpeg,1UjkV3bIfKCN-gNMh3zHGWyZxv_-RSeOQ,1036844829507460_122134070943072582,199,0,Universe,Ninguno,Protagonista,Relacional / autoafirmación,Medio,Alta,Revisar,Universe visible; sin conversación registrada.
2607828,Universe - Existencial 2607828.png,1Uk62iNYZ4mQQyZFe8ULVLCBcr6NzxdoR,1036844829507460_122134169481072582,185,3,Ganso,Ninguno,Protagonista,Absurdo / identidad,Medio,Alta,Revisar,Ganso visible; no atribuir a Universe.
2607837,Universe - Existencial 2607837.png,1oFJmvIfqhUiqPZNAjzQd0Kb7VaTsHTVC,1036844829507460_122134374249072582,200,11,Universe,Ninguno,Protagonista,Sexual / insinuación,Medio,Alta,Revisar,Universe visible en estética oscura.
260552,Universe - Existencial 260552.png,1CpAlPwHuWg_7CYzTUkJvjKEufMJkK6AU,1036844829507460_122134620417072582,77,5,Universe,Ninguno,Protagonista,Absurdo / ácido,Medio,Alta,Revisar,Universe con gafas y cuchillo; revisar sensibilidad.
.
