meta_id,fecha,interacciones,comentarios,shares,tipo_humor,subgrupo,personajes_observables,descripcion_humor,evidencia,outlier_interacciones
1036844829507460_122134136793072582,2026-06-28,1308,4,392,humor_acido,relacional/antihéroe,Humano + demonio,cinismo / autodesprecio,Meta image reviewed,True
1036844829507460_122134161303072582,2026-06-28,521,3,185,humor_acido,relacional/dialogo,Universe + humano,ácido / absurdo,Meta image reviewed,True
1036844829507460_122132350563072582,2026-06-20,351,3,109,humor_acido,insulto/autodesprecio,Humano,pendejada / absurdo,Meta image reviewed,True
1036844829507460_122134157199072582,2026-06-28,40,1,7,humor_acido,relacional,Universe,absurdo / existencial,Meta image reviewed,False
1036844829507460_122132375181072582,2026-06-20,36,2,8,humor_acido,observacional,Universe,social / mordaz,Meta image reviewed,False
1036844829507460_122132371125072582,2026-06-20,24,3,4,humor_acido,observacional,Universe,ácido / social,Meta image reviewed,False
1036844829507460_122132711259072582,2026-06-22,20,1,3,humor_acido,autocuidado_irónico,Silvio,relacional / ácido,Meta image reviewed,False
1036844829507460_122132714559072582,2026-06-22,16,2,0,humor_acido,insulto_relacional,Humano + bruja,insulto / tarot,Meta image reviewed,False
1036844829507460_122130330195072582,2026-06-14,9,1,4,humor_acido,infografia_absurda,varios personajes,absurdo / ácido,Meta image reviewed,False
1036844829507460_122132695779072582,2026-06-22,9,3,0,humor_acido,ansiedad_relacional,Humano + musculoso + Wilfred,ansiedad / absurdo,Meta image reviewed,False
1036844829507460_122126647605072582,2026-06-04,8,1,0,humor_acido,romantico_absurdo,Universe + humano,enamoramiento / combate,Meta image reviewed,False
1036844829507460_122126656881072582,2026-06-04,7,1,0,humor_acido,ciclos_relacionales,Humano,casi algo / enemigos,Meta image reviewed,False
1036844829507460_122126291157072582,2026-06-03,5,1,2,humor_acido,relacional,Mujer con sombrero,romántico / mordaz,Meta image reviewed,False
