subgrupo,n,mediana_interacciones,media_interacciones,mediana_shares,media_shares,mediana_comentarios,total_interacciones
relacional/antihéroe,1,1308.0,1308.0,392.0,392.0,4.0,1308
relacional/dialogo,1,521.0,521.0,185.0,185.0,3.0,521
insulto/autodesprecio,1,351.0,351.0,109.0,109.0,3.0,351
observacional,2,30.0,30.0,6.0,6.0,2.5,60
relacional,2,22.5,22.5,4.5,4.5,1.0,45
autocuidado_irónico,1,20.0,20.0,3.0,3.0,1.0,20
insulto_relacional,1,16.0,16.0,0.0,0.0,2.0,16
ansiedad_relacional,1,9.0,9.0,0.0,0.0,3.0,9
infografia_absurda,1,9.0,9.0,4.0,4.0,1.0,9
romantico_absurdo,1,8.0,8.0,0.0,0.0,1.0,8
ciclos_relacionales,1,7.0,7.0,0.0,0.0,1.0,7
