priority_rank,status,meta_id,publication_date_local,local_time,caption,interactions,reactions,comments,shares,asset_ref_known,next_evidence_needed,sexual_cue,acid_cue,candidate_type,score,sample_group
1,Reconciled,1036844829507460_122134136793072582,2026-06-28,,Me da miedo ser el malo de la historia... #UniverseSentMe #vidareal #pazmental #humor #memes,1308,912,4,392,2607825 - Kael - Ser el malo de la historia  (28-jun-26),"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,2134,acid
12,Visual_Confirmed,1036844829507460_122134161303072582,2026-06-28,,Ya le entendí a la vida banda. #UniverseSentMe #humoracido #villano #fyp #revelacion,521,333,3,185,2607828,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,930,acid
21,Visual_Confirmed,1036844829507460_122132350563072582,2026-06-20,,Hasta aquí llegue... u.u #UniverseSentMe #pendejadas #humor #relatable,351,239,3,109,2607786,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,608,acid
46,Visual_Confirmed,1036844829507460_122132375181072582,2026-06-20,,🧙‍♂️ #UniverseSentMe #humoracido #baila #sanar #cumbia,36,26,2,8,2607789,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,88,acid
42,Visual_Confirmed,1036844829507460_122134157199072582,2026-06-28,,😮‍💨😮‍💨😮‍💨 puro batallar....,40,32,1,7,2607827,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,87,acid
65,Visual_Confirmed,1036844829507460_122132371125072582,2026-06-20,,🤦‍♂️ #UniverseSentMe #humor #humoracido,24,17,3,4,2607788,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,71,acid
125,Visual_Confirmed,1036844829507460_122130330195072582,2026-06-14,,🙂‍↕️ #UniverseSentMe #HumorÁcido #insight #Yo,9,4,1,4,260762,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,50,acid
166,Visual_Confirmed,1036844829507460_122126291157072582,2026-06-03,,no sean asi... sigan a la pagina 🤭 #Fblifestyle #EvolucionPersonal #DesconexiónDigital #insight #relatable #UniverseSentMe #CosasQuePasan #HumorAcido,5,2,1,2,260685,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,42,acid
38,Visual_Confirmed,1036844829507460_122131787067072582,2026-06-18,,😳 esta bien.... #UniverseSentMe #vidareal #humor #parejas,47,41,2,4,260777,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,91,sexual
73,Visual_Confirmed,1036844829507460_122132711259072582,2026-06-22,,😒 Mereces amor! #GuiaEspiritual #vidareal #UniverseSentMe,20,16,1,3,2607797,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,59,sexual
84,Visual_Confirmed,1036844829507460_122134032159072582,2026-06-27,,Tu cuerpo también reacciona a las personas correctas. #UniverseSentMe #vidagatuna #pazmental #VibraBonita #parati #artedigital,16,12,1,3,2607819,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,55,sexual
83,Visual_Confirmed,1036844829507460_122132714559072582,2026-06-22,,Esta fue la primera vez que se vieron estos dos.. 🤪 #cosasquepasan #relatable #humor #UniverseSentMe #tarot,16,14,2,0,717,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,52,sexual
127,Visual_Confirmed,1036844829507460_122132695779072582,2026-06-22,,Los tres igual de confundidos... #UniverseSentMe #ansiedad #GuiaEspiritual #vidareal,9,6,3,0,2607795,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,48,sexual
126,Needs_Asset_Match,1036844829507460_122131071243072582,2026-06-16,,"¡Un saludo a mis nuevos seguidores! ¡Estoy feliz de que me sigan! Alex Villa, Yami Wakeshima, Alexis Alvarez, Areli Salgado, Afner Perales Calderón, Elias Jose Flores, Claudia Lucero, Brayan Nuñez - Rodríguez, José Ramírez, Jacobo Espinosa, Noveltis Hathor, Lupillo Piña, Manny Starr, Carlos Mendez, Alex Lopez, Jennifer Patlan, Aliss Leon, Lala Vega, Miguel Angel Zarate, Mao Morán, Daniel Carrillo, Carlos Emanuel Aruquipa, Suria Mancilla, Estiven López, Miguel Mazariegos, Fernanda Camarena, Eder R. Dimas, Evelin Calani Jarro, Jaime RV, Claudia Salas, Josue Medrano, الكسندر الكسندر, Jorge Xeloma, Berenice EM, Fractal Sobre Ruedas, Luis Alberto Roman Leovano, D'Santis Boreal, Liz Padilla, Brenda Justiniano Mendez, Olbia Moreno, Noside Sollavec, Mata Torres O Ivan, Danneey PL, Xair Bodden, Flor Morales, Jorge Abraham Coloma Cuadra, Paulina Melo, Valter Jaimes Miranda, Dilan OG, Angel Romero",9,9,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",True,False,sexual,39,sexual
131,Visual_Confirmed,1036844829507460_122126647605072582,2026-06-04,,😳 #CiclosCerrados #EvolucionPersonal #DesconexiónDigital #relatable #UniverseSentMe #universesentme,8,7,1,0,260693,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,41,sexual
146,Visual_Confirmed,1036844829507460_122126656881072582,2026-06-04,,Al fin... u.u Sigan a Universe Sent Me #DesconexiónDigital #EvolucionPersonal #CiclosCerrados #destiny #insight #relatable #UniverseSentMe #CosasQuePasan,7,6,1,0,260686,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,40,sexual
