priority_rank,status,meta_id,publication_date_local,local_time,caption,interactions,reactions,comments,shares,asset_ref_known,next_evidence_needed,cue,score
93,Needs_Asset_Match,1036844829507460_122125547121072582,2026-06-01,,Cómo no vas a poder... si hay flores rompiendo el pavimento! #EvolucionPersonal #UniverseSentMe #aesthetic #Rockstar #DespertarCosmico #illustration,14,12,1,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",True,39
161,Needs_Asset_Match,1036844829507460_122130309663072582,2026-06-14,,No corras por correr...,6,4,0,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",True,30
181,Needs_Asset_Match,1036844829507460_122134060641072582,2026-06-27,,No hay frase motivacional...,4,2,1,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",True,29
208,Needs_Asset_Match,1036844829507460_122126267355072582,2026-06-03,,No es algo heroico es más bien algo estoico... #cerati,1,1,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",True,21
210,Needs_Asset_Match,1036844829507460_122126305443072582,2026-06-03,,Que no se les escapen personas buenas por andar de indecisos... 😳😳😳 #AdultoFuncional #PazMental #illustration #aesthetic #Rockstar #EvolucionPersonal #insight #UniverseSentMe #CosasQuePasan,1,1,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",True,21
24,Needs_Asset_Match,1036844829507460_122134147251072582,2026-06-28,,A pesar de mi dislexia voy a lograr todo #UniverseSentMe #humor #dislexia,171,118,3,50,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,280
47,Needs_Asset_Match,1036844829507460_122125528653072582,2026-06-01,,#universesentme #bonita,35,26,1,8,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,54
67,Needs_Asset_Match,1036844829507460_122130216549072582,2026-06-13,,🤔,23,15,2,6,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,41
61,Needs_Asset_Match,1036844829507460_122130232503072582,2026-06-13,,🫠🫠,27,24,1,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,34
98,Needs_Asset_Match,1036844829507460_122134608507072582,2026-06-30,,Ya le entendí a la vida banda... #universesentme #merlin #fifaworldcup,14,9,3,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,27
72,Needs_Asset_Match,1036844829507460_122128512777072582,2026-06-09,,Consejo del día,20,18,1,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,25
64,Needs_Asset_Match,1036844829507460_122127661851072582,2026-06-06,,,24,24,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,24
74,Needs_Asset_Match,1036844829507460_122125544019072582,2026-06-01,,#universesentme #relatable #fblifestyle #vidareal #rockstar,18,16,0,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,22
75,Needs_Asset_Match,1036844829507460_122129015739072582,2026-06-10,,🫠🫠🫠 #universesentme #relatable #vidareal #insight,18,16,0,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,22
95,Needs_Asset_Match,1036844829507460_122127916017072582,2026-06-07,,,14,11,2,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,22
120,Needs_Asset_Match,1036844829507460_122134065975072582,2026-06-27,,#universesentme #vidareal #destiny,10,6,3,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,21
101,Needs_Asset_Match,1036844829507460_122127654273072582,2026-06-06,,,12,9,0,3,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,18
137,Needs_Asset_Match,1036844829507460_122132558535072582,2026-06-21,,🤭🤭 #UniverseSentMe #cosasquepasan #tiktok #YOMismo,8,4,2,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,18
108,Needs_Asset_Match,1036844829507460_122128989885072582,2026-06-10,,😣😣🫠,11,9,2,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,17
99,Needs_Asset_Match,1036844829507460_122130329817072582,2026-06-14,,Piensalo bien... #universesentme #fun #humorácido #humornegro,13,12,0,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,15
