estructura_narrativa,n,mediana_interacciones,mediana_comentarios,mediana_shares,veredicto
composicion_mundo,1,14.0,2.0,1.0,inconclusa
escena_personaje_caption,1,4.0,1.0,1.0,inconclusa
escena_relacional_caption,1,1.0,0.0,0.0,inconclusa
escena_relacional_globo,1,27.0,1.0,2.0,inconclusa
infografia_composicion,1,23.0,2.0,6.0,inconclusa
metafora_visual_caption,1,14.0,1.0,1.0,inconclusa
personaje_caption,3,6.0,0.0,2.0,exploratoria
texto_composicion_mundo,1,171.0,3.0,50.0,inconclusa
texto_sobre_fotografia,4,22.0,0.5,1.5,exploratoria
transformacion_vestuario,1,14.0,3.0,2.0,inconclusa
