Case_ID,Alias_IDs,Publication_IDs,Asset_Key,Publication_Asset_Refs,Meta_Post_IDs,Planned_Dates,Permalinks,Wider_Local_Evidence_Paths,Evidence_State,Inventory_Candidates,Recommended_Option,Risk,Next_Action
CASE-17_30-01,ALIAS-0020,PUB-FB-17_30-07,260646,260646 - No sean asi.. (14-jun-26).png,1036844829507460_122151374085072582,2026-08-18,https://www.facebook.com/122146890051072582/posts/122151374085072582,/home/ubuntu/reuse_review/260646.png,Wider_Local_Evidence_Found_No_Inventory_Row,,Move the file into staging evidence and create a non-CNT inventory alias row later.,Medium: identity is evidenced but inventory association is administrative.,Keep the alias as Review; approve a staging alias or add a non-CNT inventory row.
CASE-17_30-02,ALIAS-0036;ALIAS-0047,PUB-FB-17_30-23;PUB-FB-17_30-34,260508,260508 - Universe.jpg;Universe - Existencial 260508.png,1036844829507460_122151375375072582;1036844829507460_122151376365072582,2026-08-20;2026-08-23,https://www.facebook.com/122146890051072582/posts/122151375375072582;https://www.facebook.com/122146890051072582/posts/122151376365072582,/home/ubuntu/260508_universe.jpg; /home/ubuntu/260508_existencial.png,Wider_Local_Evidence_Found_Exact_Filename,CNT-042 (260508 - Universe.jpg);CNT-043 (Universe - Existencial 260508.png),Associate exact filename to existing inventory candidate(s); update alias table after one validation pass.,Low if filename and local digest match; do not create CNT.,"Validate the two 260508 files and map ALIAS-0036→CNT-042, ALIAS-0047→CNT-043."
CASE-17_30-03,ALIAS-0038,PUB-FB-17_30-25,2607838,2607838 - Dios - Quien me creo a mi (29-jun-26).png,1036844829507460_122151375549072582,2026-08-21,https://www.facebook.com/122146890051072582/posts/122151375549072582,/home/ubuntu/reuse_review/2607838.png,Wider_Local_Evidence_Found_No_Inventory_Row,,Move the file into staging evidence and create a non-CNT inventory alias row later.,Medium: identity is evidenced but inventory association is administrative.,Keep the alias as Review; approve a staging alias or add a non-CNT inventory row.
CASE-17_30-04,ALIAS-0036;ALIAS-0047,PUB-FB-17_30-23;PUB-FB-17_30-34,260508,260508 - Universe.jpg;Universe - Existencial 260508.png,1036844829507460_122151375375072582;1036844829507460_122151376365072582,2026-08-20;2026-08-23,https://www.facebook.com/122146890051072582/posts/122151375375072582;https://www.facebook.com/122146890051072582/posts/122151376365072582,/home/ubuntu/260508_universe.jpg; /home/ubuntu/260508_existencial.png,Wider_Local_Evidence_Found_Exact_Filename,CNT-042 (260508 - Universe.jpg);CNT-043 (Universe - Existencial 260508.png),Associate exact filename to existing inventory candidate(s); update alias table after one validation pass.,Low if filename and local digest match; do not create CNT.,"Validate the two 260508 files and map ALIAS-0036→CNT-042, ALIAS-0047→CNT-043."
CASE-17_30-05,ALIAS-0049,PUB-FB-17_30-36,260757,260757 - Maeve - Estas seguro¿ (14-jun-26).png,1036844829507460_122151376539072582,2026-08-23,https://www.facebook.com/122146890051072582/posts/122151376539072582,/home/ubuntu/reuse_review/260757.png,Wider_Local_Evidence_Found_No_Inventory_Row,,Move the file into staging evidence and create a non-CNT inventory alias row later.,Medium: identity is evidenced but inventory association is administrative.,Keep the alias as Review; approve a staging alias or add a non-CNT inventory row.
CASE-17_30-06,ALIAS-0051,PUB-FB-17_30-38,260661,Universe - Existencial 260661.png,1036844829507460_122151376695072582,2026-08-24,https://www.facebook.com/122146890051072582/posts/122151376695072582,/home/ubuntu/extra_260661.png,Wider_Local_Evidence_Found_No_Inventory_Row,,Move the file into staging evidence and create a non-CNT inventory alias row later.,Medium: identity is evidenced but inventory association is administrative.,Keep the alias as Review; approve a staging alias or add a non-CNT inventory row.
CASE-17_30-07,ALIAS-0057,PUB-FB-17_30-44,2607831,Universe - Existencial 2607831.png,1036844829507460_122151377199072582,2026-08-25,https://www.facebook.com/122146890051072582/posts/122151377199072582,/home/ubuntu/extra_2607831.png,Wider_Local_Evidence_Found_No_Inventory_Row,,Move the file into staging evidence and create a non-CNT inventory alias row later.,Medium: identity is evidenced but inventory association is administrative.,Keep the alias as Review; approve a staging alias or add a non-CNT inventory row.
CASE-17_30-08,ALIAS-0069,PUB-FB-17_30-56,260571,260571 - Kiri.png,1036844829507460_122151378249072582,2026-08-27,https://www.facebook.com/122146890051072582/posts/122151378249072582,/home/ubuntu/reuse_review/260571.png,Wider_Local_Evidence_Found_No_Inventory_Row,,Move the file into staging evidence and create a non-CNT inventory alias row later.,Medium: identity is evidenced but inventory association is administrative.,Keep the alias as Review; approve a staging alias or add a non-CNT inventory row.
CASE-17_30-09,ALIAS-0076,PUB-FB-17_30-63,260550,260550 - Universe.png,1036844829507460_122151378807072582,2026-08-28,https://www.facebook.com/122146890051072582/posts/122151378807072582,/home/ubuntu/reuse_review/260550.png,Wider_Local_Evidence_Found_No_Inventory_Row,,Move the file into staging evidence and create a non-CNT inventory alias row later.,Medium: identity is evidenced but inventory association is administrative.,Keep the alias as Review; approve a staging alias or add a non-CNT inventory row.
CASE-17_30-10,ALIAS-0086,PUB-FB-17_30-73,260617,260617 - Elara+Kael.png,1036844829507460_122151379623072582,2026-08-30,https://www.facebook.com/122146890051072582/posts/122151379623072582,/home/ubuntu/reuse_review/260617.png,Wider_Local_Evidence_Found_No_Inventory_Row,,Move the file into staging evidence and create a non-CNT inventory alias row later.,Medium: identity is evidenced but inventory association is administrative.,Keep the alias as Review; approve a staging alias or add a non-CNT inventory row.
