Alias_ID,Asset_Key,Inventory_ID,Inventory_Asset_Ref,Inventory_Asset_Filename,Drive_ID,Publication_ID,Publication_Asset_Ref,Plataforma,Meta_Post_ID,Meta_Photo_ID,Permalink,Fecha_Planeada_Local,Hora_Planeada_Local,Fecha_Publicacion_Local,Hora_Publicacion_Local,Estado_Publicacion,Match_Method,Confidence,Source,Notes,Review_Category,Recommended_Action,Review_Category,Recommended_Action
ALIAS-0015,2608028,,,,,PUB-FB-17_30-02,2608028 - Universe -  El amor esta en todos lados.png,Facebook,1036844829507460_122151373761072582,122151373737072582,https://www.facebook.com/122146890051072582/posts/122151373761072582,2026-08-17,11:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation."
ALIAS-0016,2608034,,,,,PUB-FB-17_30-03,2608034- Elara - uno debe ser chismoso.jpeg,Facebook,1036844829507460_122151373833072582,122151373797072582,https://www.facebook.com/122146890051072582/posts/122151373833072582,2026-08-17,13:30,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation."
ALIAS-0018,2608027,,,,,PUB-FB-17_30-05,2608027.jpeg,Facebook,1036844829507460_122151373953072582,122151373917072582,https://www.facebook.com/122146890051072582/posts/122151373953072582,2026-08-17,17:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,P0_or_P0_adjacent_exception,Keep as documented exception; do not create CNT; preserve P0 association register.,P0_or_P0_adjacent_exception,Keep as documented exception; do not create CNT; preserve P0 association register.
ALIAS-0019,2608029,,,,,PUB-FB-17_30-06,2608029 - Wilfred - Quiero loquiar.jpeg,Facebook,1036844829507460_122151374019072582,122151373983072582,https://www.facebook.com/122146890051072582/posts/122151374019072582,2026-08-17,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation."
ALIAS-0020,260646,,,,,PUB-FB-17_30-07,260646 - No sean asi.. (14-jun-26).png,Facebook,1036844829507460_122151374085072582,122151374055072582,https://www.facebook.com/122146890051072582/posts/122151374085072582,2026-08-18,10:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation."
ALIAS-0021,2608046,,,,,PUB-FB-17_30-08,2608046 - Universe - Mis firmas no se parecen.jpeg,Facebook,1036844829507460_122151374157072582,122151374121072582,https://www.facebook.com/122146890051072582/posts/122151374157072582,2026-08-18,11:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation."
ALIAS-0023,2608052,,,,,PUB-FB-17_30-10,2608052 - Evan - Yo confiando en Google Maps.jpeg,Facebook,1036844829507460_122151374289072582,122151374253072582,https://www.facebook.com/122146890051072582/posts/122151374289072582,2026-08-18,16:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation."
ALIAS-0025,2608032,,,,,PUB-FB-17_30-12,2608032 - Kiri - Para romper el echizo tendras que besarla en los labios.jpeg,Facebook,1036844829507460_122151374457072582,122151374421072582,https://www.facebook.com/122146890051072582/posts/122151374457072582,2026-08-18,19:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation."
ALIAS-0027,2608061,,,,,PUB-FB-17_30-14,2608061 - Fantasma - acaso parezco alguien que quiere ser genial.jpeg,Facebook,1036844829507460_122151374589072582,122151374559072582,https://www.facebook.com/122146890051072582/posts/122151374589072582,2026-08-19,11:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation."
ALIAS-0029,2608031,,,,,PUB-FB-17_30-16,2608031 - Maeve+Silvio - Risas falsas.jpeg,Facebook,1036844829507460_122151374745072582,122151374709072582,https://www.facebook.com/122146890051072582/posts/122151374745072582,2026-08-19,16:00,,,Programada,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.,17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation.",17_30_inventory_gap,"Cross-check exact filename/Drive/Meta; if no evidence, keep Review without CNT creation."
