meta_id,source_row_ids,logical_status,source_count,periods,asset_ref_canonical,asset_refs_observed,filename_or_concepts,dates_observed,local_times_observed,formats_observed,metric_definitions_observed,metric_values_observed,reactions,comments,shares,metrics_consistent,inventory_id_candidates,cnt_id_status,sources_observed,notes
1036844829507460_122117393139072582,9,Unique_Logical_Publication,1,Mayo_2026,260508,260508,260508 - Universe.jpg,2026-05-01,,Unknown_from_ranking,Reacciones + comentarios + shares,9,7,2,0,Yes,CNT-042;CNT-043,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122117421531072582,26,Unique_Logical_Publication,1,Mayo_2026,741,741,741 - Elara+Maeve.png,2026-05-02,,Unknown_from_ranking,Reacciones + comentarios + shares,5,5,0,0,Yes,CNT-041,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122117731467072582,14,Unique_Logical_Publication,1,Mayo_2026,260508,Universe,Universe - Existencial 260508.png,2026-05-04,,Unknown_from_ranking,Reacciones + comentarios + shares,8,8,0,0,Yes,CNT-042;CNT-043,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122117751393072582,13,Unique_Logical_Publication,1,Mayo_2026,260510,260510,260510 - Universe.png,2026-05-05,,Unknown_from_ranking,Reacciones + comentarios + shares,8,7,1,0,Yes,CNT-044,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122118254373072582,6,Unique_Logical_Publication,1,Mayo_2026,260515,260515,260515 - Universe.png,2026-05-05,,Unknown_from_ranking,Reacciones + comentarios + shares,10,6,3,1,Yes,CNT-045,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122118353007072582,16,Unique_Logical_Publication,1,Mayo_2026,260518,260518,260518 - Kael.png,2026-05-06,,Unknown_from_ranking,Reacciones + comentarios + shares,7,6,1,0,Yes,CNT-046,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122118739911072582,25,Unique_Logical_Publication,1,Mayo_2026,260527,260527,260527 - Universe.png,2026-05-08,,Unknown_from_ranking,Reacciones + comentarios + shares,5,4,1,0,Yes,CNT-047,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122119022541072582,4,Unique_Logical_Publication,1,Mayo_2026,260528,260528,260528 - Universe.png,2026-05-09,,Unknown_from_ranking,Reacciones + comentarios + shares,11,8,2,1,Yes,CNT-048,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122119047297072582,23,Unique_Logical_Publication,1,Mayo_2026,260542,260542,260542 - Universe.png,2026-05-09,,Unknown_from_ranking,Reacciones + comentarios + shares,5,4,0,1,Yes,CNT-050,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122119060353072582,24,Unique_Logical_Publication,1,Mayo_2026,260543,260543,260543 - Evan.png,2026-05-10,,Unknown_from_ranking,Reacciones + comentarios + shares,5,5,0,0,Yes,CNT-051,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122119761573072582,27,Unique_Logical_Publication,1,Mayo_2026,260559,260559,260559 - Universe.png,2026-05-12,,Unknown_from_ranking,Reacciones + comentarios + shares,5,2,0,3,Yes,CNT-052,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122120563947072582,22,Unique_Logical_Publication,1,Mayo_2026,260573,260573,260573 - Universe.png,2026-05-15,,Unknown_from_ranking,Reacciones + comentarios + shares,5,3,0,2,Yes,CNT-054,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122120887443072582,12,Unique_Logical_Publication,1,Mayo_2026,260589,260589.png,260589.png,2026-05-18,,Unknown_from_ranking,Reacciones + comentarios + shares,8,4,4,0,Yes,CNT-055,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122120959611072582,29,Unique_Logical_Publication,1,Mayo_2026,260590,260590,260590 - Maeve.png,2026-05-18,,Unknown_from_ranking,Reacciones + comentarios + shares,4,3,0,1,Yes,CNT-056,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122122145103072582,17,Unique_Logical_Publication,1,Mayo_2026,260607,260607,260607 - Universe.png,2026-05-21,,Unknown_from_ranking,Reacciones + comentarios + shares,6,4,1,1,Yes,CNT-057,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122122150101072582,21,Unique_Logical_Publication,1,Mayo_2026,260540,260540,260540 - Elara.png,2026-05-11,,Unknown_from_ranking,Reacciones + comentarios + shares,5,4,1,2,Yes,CNT-049,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122122159311072582,19,Unique_Logical_Publication,1,Mayo_2026,260613,260613,260613 - Wilfred.png,2026-05-21,,Unknown_from_ranking,Reacciones + comentarios + shares,6,6,0,0,Yes,CNT-058,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122122781583072582,15,Unique_Logical_Publication,1,Mayo_2026,260625,260625.png,260625.png,2026-05-22,,Unknown_from_ranking,Reacciones + comentarios + shares,7,5,0,2,Yes,CNT-061,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122122824549072582,11,Unique_Logical_Publication,1,Mayo_2026,260614,260614,260614 - Universe.png,2026-05-23,,Unknown_from_ranking,Reacciones + comentarios + shares,8,6,0,2,Yes,CNT-059,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122123199435072582,2,Unique_Logical_Publication,1,Mayo_2026,260633,260633,260633 - Universe.png,2026-05-23,,Unknown_from_ranking,Reacciones + comentarios + shares,14,11,1,2,Yes,CNT-062,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122124367017072582,20,Unique_Logical_Publication,1,Mayo_2026,260620,260620,260620 - Fantasma.png,2026-05-27,,Unknown_from_ranking,Reacciones + comentarios + shares,5,3,0,2,Yes,CNT-060,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122124445011072582,7,Unique_Logical_Publication,1,Mayo_2026,260560,260560,260560 - Fantasma.png,2026-05-14,,Unknown_from_ranking,Reacciones + comentarios + shares,10,6,0,4,Yes,CNT-053,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122124494049072582,10,Unique_Logical_Publication,1,Mayo_2026,260635,260635,260635 - Universe.png,2026-05-22,,Unknown_from_ranking,Reacciones + comentarios + shares,9,7,1,1,Yes,CNT-063,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122124927519072582,5,Unique_Logical_Publication,1,Mayo_2026,260644,260644,260644 - Universe.png,2026-05-30,,Unknown_from_ranking,Reacciones + comentarios + shares,10,7,2,1,Yes,CNT-065,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122124931461072582,3,Unique_Logical_Publication,1,Mayo_2026,260642,260642,260642 - Universe+Wilfred.png,2026-05-30,,Unknown_from_ranking,Reacciones + comentarios + shares,12,9,1,2,Yes,CNT-064,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122124960891072582,28,Unique_Logical_Publication,1,Mayo_2026,260650,260650,260650 - Universe.png,2026-05-31,,Unknown_from_ranking,Reacciones + comentarios + shares,4,3,0,1,Yes,CNT-066,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122125167639072582,8,Unique_Logical_Publication,1,Mayo_2026,260659,260659,260659 - Universe.png,2026-05-31,,Unknown_from_ranking,Reacciones + comentarios + shares,9,6,2,1,Yes,CNT-067,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122125185207072582,18,Unique_Logical_Publication,1,Mayo_2026,622,Universe,Universe - Existencial 622.png,2026-05-31,,Unknown_from_ranking,Reacciones + comentarios + shares,6,5,1,0,Yes,CNT-040,Candidate_from_inventory_key,2026-08-14_Reuse_Mayo_Ranking.csv,One source row observed.
1036844829507460_122125531995072582,42,Unique_Logical_Publication,1,Junio_2026,260696,260696,Universe - Existencial 260696,2026-06-01,,Image,Reactions + comments + shares,8,7,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125539447072582,43,Unique_Logical_Publication,1,Junio_2026,260647,260647,Universe - Existencial 260647,2026-06-01,,Image,Reactions + comments + shares,7,6,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125544763072582,44,Unique_Logical_Publication,1,Junio_2026,260678,260678,Universe - Existencial 260678,2026-06-01,,Image,Reactions + comments + shares,14,10,2,2,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125549929072582,45,Unique_Logical_Publication,1,Junio_2026,260698,260698,Universe - Existencial 260698,2026-06-01,,Image,Reactions + comments + shares,5,4,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125632579072582,46,Unique_Logical_Publication,1,Junio_2026,260710,260710,Universe - Existencial 260710,2026-06-01,,Image,Reactions + comments + shares,2,1,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125638237072582,47,Unique_Logical_Publication,1,Junio_2026,260677,260677,Universe - Existencial 260677,2026-06-01,,Image,Reactions + comments + shares,2,0,0,2,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125642935072582,48,Unique_Logical_Publication,1,Junio_2026,260697,260697,Universe - Existencial 260697,2026-06-01,,Image,Reactions + comments + shares,7,6,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125649037072582,49,Unique_Logical_Publication,1,Junio_2026,260688,260688,Universe - Existencial 260688,2026-06-01,,Image,Reactions + comments + shares,2,2,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125879395072582,50,Unique_Logical_Publication,1,Junio_2026,260690,260690,Universe - Existencial 260690,2026-06-02,,Image,Reactions + comments + shares,7,5,1,1,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125889343072582,51,Unique_Logical_Publication,1,Junio_2026,260662,260662,Universe - Existencial 260662,2026-06-02,,Image,Reactions + comments + shares,7,6,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125899687072582,52,Unique_Logical_Publication,1,Junio_2026,260703,260703,Universe - Existencial 260703,2026-06-02,,Image,Reactions + comments + shares,0,0,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125904103072582,53,Unique_Logical_Publication,1,Junio_2026,260679,260679,Universe - Existencial 260679,2026-06-02,,Image,Reactions + comments + shares,6,5,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125909929072582,54,Unique_Logical_Publication,1,Junio_2026,260691,260691,Universe - Existencial 260691,2026-06-02,,Image,Reactions + comments + shares,4,3,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125913145072582,55,Unique_Logical_Publication,1,Junio_2026,260694,260694,Universe - Existencial 260694,2026-06-02,,Image,Reactions + comments + shares,2,1,0,1,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122125915659072582,56,Unique_Logical_Publication,1,Junio_2026,260689,260689,Universe - Existencial 260689,2026-06-02,,Image,Reactions + comments + shares,2,2,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126245077072582,57,Unique_Logical_Publication,1,Junio_2026,260655,260655,Universe - Existencial 260655,2026-06-03,,Image,Reactions + comments + shares,1,1,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126268399072582,58,Unique_Logical_Publication,1,Junio_2026,260692,260692,Universe - Existencial 260692,2026-06-03,,Image,Reactions + comments + shares,4,3,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126291157072582,59,Unique_Logical_Publication,1,Junio_2026,260685,260685,Universe - Existencial 260685,2026-06-03,,Image,Reactions + comments + shares,5,2,1,2,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126295999072582,60,Unique_Logical_Publication,1,Junio_2026,260666,260666,Universe - Existencial 260666,2026-06-03,,Image,Reactions + comments + shares,0,0,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126300817072582,61,Unique_Logical_Publication,1,Junio_2026,260682,260682,Universe - Existencial 260682,2026-06-03,,Image,Reactions + comments + shares,4,3,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126303037072582,62,Unique_Logical_Publication,1,Junio_2026,260656,260656,Universe - Existencial 260656,2026-06-03,,Image,Reactions + comments + shares,1,1,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122126647605072582,63,Unique_Logical_Publication,1,Junio_2026,260693,260693,Universe - Existencial 260693,2026-06-04,,Image,Reactions + comments + shares,8,7,1,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
