Staging_ID,Alias_ID,Publication_ID,Asset_Key,Publication_Asset_Ref,Meta_Post_ID,Permalink,Planned_Date_Local,Planned_Time_Local,Local_Evidence_Paths,Local_Evidence_SHA256,Inventory_ID_Current,Staging_Status,CNT_Creation_Allowed,Canon_Impact,Next_Action
STG-17_30-001,ALIAS-0015,PUB-FB-17_30-02,2608028,2608028 - Universe -  El amor esta en todos lados.png,1036844829507460_122151373761072582,https://www.facebook.com/122146890051072582/posts/122151373761072582,2026-08-17,11:00,/home/ubuntu/calendar_visual_review_20260816/2608028__2608028 - Universe -  El amor esta en todos lados.png,/home/ubuntu/calendar_visual_review_20260816/2608028__2608028 - Universe -  El amor esta en todos lados.png=2803258380fe68c6ed3c1d0cdde21dd26bec582635edab7c651781a05831e825,,Identity_Verified_Inventory_Missing,No,None,Approve alias normalization or create non-CNT inventory row; do not alter source inventory automatically.
STG-17_30-002,ALIAS-0016,PUB-FB-17_30-03,2608034,2608034- Elara - uno debe ser chismoso.jpeg,1036844829507460_122151373833072582,https://www.facebook.com/122146890051072582/posts/122151373833072582,2026-08-17,13:30,/home/ubuntu/calendar_visual_review_20260816/2608034__2608034- Elara - uno debe ser chismoso.jpeg,/home/ubuntu/calendar_visual_review_20260816/2608034__2608034- Elara - uno debe ser chismoso.jpeg=e44db0844bc086d3aedb3a40a8ebca87880d253d59ebe65b876e7383845afc3a,,Identity_Verified_Inventory_Missing,No,None,Approve alias normalization or create non-CNT inventory row; do not alter source inventory automatically.
STG-17_30-003,ALIAS-0018,PUB-FB-17_30-05,2608027,2608027.jpeg,1036844829507460_122151373953072582,https://www.facebook.com/122146890051072582/posts/122151373953072582,2026-08-17,17:00,/home/ubuntu/calendar_visual_review_20260816/2608027__2608027.jpeg,/home/ubuntu/calendar_visual_review_20260816/2608027__2608027.jpeg=a52d0141a744d557d943bc74200b113e016a0d2718285931eaa91ad0b07ef140,,Identity_Verified_Inventory_Missing,No,None,Approve alias normalization or create non-CNT inventory row; do not alter source inventory automatically.
STG-17_30-004,ALIAS-0019,PUB-FB-17_30-06,2608029,2608029 - Wilfred - Quiero loquiar.jpeg,1036844829507460_122151374019072582,https://www.facebook.com/122146890051072582/posts/122151374019072582,2026-08-17,19:00,/home/ubuntu/calendar_visual_review_20260816/2608029__2608029 - Wilfred - Quiero loquiar.jpeg,/home/ubuntu/calendar_visual_review_20260816/2608029__2608029 - Wilfred - Quiero loquiar.jpeg=cea9c67f01d94c096f1059ac02bb3c0c58ee0867e08fca1807e026e48f4e56b3,,Identity_Verified_Inventory_Missing,No,None,Approve alias normalization or create non-CNT inventory row; do not alter source inventory automatically.
STG-17_30-005,ALIAS-0021,PUB-FB-17_30-08,2608046,2608046 - Universe - Mis firmas no se parecen.jpeg,1036844829507460_122151374157072582,https://www.facebook.com/122146890051072582/posts/122151374157072582,2026-08-18,11:00,/home/ubuntu/calendar_visual_review_20260816/2608046__2608046 - Universe - Mis firmas no se parecen.jpeg,/home/ubuntu/calendar_visual_review_20260816/2608046__2608046 - Universe - Mis firmas no se parecen.jpeg=794dcf2a76570c0f781c77783a1587d211a88f25d7a2f9b7466c4b0da7275c54,,Identity_Verified_Inventory_Missing,No,None,Approve alias normalization or create non-CNT inventory row; do not alter source inventory automatically.
STG-17_30-006,ALIAS-0023,PUB-FB-17_30-10,2608052,2608052 - Evan - Yo confiando en Google Maps.jpeg,1036844829507460_122151374289072582,https://www.facebook.com/122146890051072582/posts/122151374289072582,2026-08-18,16:00,/home/ubuntu/calendar_visual_review_20260816/2608052__2608052 - Evan - Yo confiando en Google Maps.jpeg,/home/ubuntu/calendar_visual_review_20260816/2608052__2608052 - Evan - Yo confiando en Google Maps.jpeg=4568edcb36964306bf3b2e0f30bbd543407a25bc30fed8d2e4e670b44e21dddc,,Identity_Verified_Inventory_Missing,No,None,Approve alias normalization or create non-CNT inventory row; do not alter source inventory automatically.
STG-17_30-007,ALIAS-0025,PUB-FB-17_30-12,2608032,2608032 - Kiri - Para romper el echizo tendras que besarla en los labios.jpeg,1036844829507460_122151374457072582,https://www.facebook.com/122146890051072582/posts/122151374457072582,2026-08-18,19:00,/home/ubuntu/calendar_visual_review_20260816/2608032__2608032 - Kiri - Para romper el echizo tendras que besarla en los labios.jpeg,/home/ubuntu/calendar_visual_review_20260816/2608032__2608032 - Kiri - Para romper el echizo tendras que besarla en los labios.jpeg=9c2aa5146204ec629cc4af7ff14b92303e8a80e5af5bf47acd9f06f5489775b1,,Identity_Verified_Inventory_Missing,No,None,Approve alias normalization or create non-CNT inventory row; do not alter source inventory automatically.
STG-17_30-008,ALIAS-0027,PUB-FB-17_30-14,2608061,2608061 - Fantasma - acaso parezco alguien que quiere ser genial.jpeg,1036844829507460_122151374589072582,https://www.facebook.com/122146890051072582/posts/122151374589072582,2026-08-19,11:00,/home/ubuntu/calendar_visual_review_20260816/2608061__2608061 - Fantasma - acaso parezco alguien que quiere ser genial.jpeg,/home/ubuntu/calendar_visual_review_20260816/2608061__2608061 - Fantasma - acaso parezco alguien que quiere ser genial.jpeg=6a60364a402ef8373147e8ae2d62fce195617e3c48e2b07b9177de8cdaf4ecdc,,Identity_Verified_Inventory_Missing,No,None,Approve alias normalization or create non-CNT inventory row; do not alter source inventory automatically.
STG-17_30-009,ALIAS-0029,PUB-FB-17_30-16,2608031,2608031 - Maeve+Silvio - Risas falsas.jpeg,1036844829507460_122151374745072582,https://www.facebook.com/122146890051072582/posts/122151374745072582,2026-08-19,16:00,/home/ubuntu/calendar_visual_review_20260816/2608031__2608031 - Maeve+Silvio - Risas falsas.jpeg,/home/ubuntu/calendar_visual_review_20260816/2608031__2608031 - Maeve+Silvio - Risas falsas.jpeg=c3c215b53ad513ff422441abfcb9dde932b775c918d0c0698545c11705625c1e,,Identity_Verified_Inventory_Missing,No,None,Approve alias normalization or create non-CNT inventory row; do not alter source inventory automatically.
STG-17_30-010,ALIAS-0031,PUB-FB-17_30-18,2608040,2608040- Wilfred - el universo me susurro en sueños.jpeg,1036844829507460_122151374919072582,https://www.facebook.com/122146890051072582/posts/122151374919072582,2026-08-19,19:00,/home/ubuntu/calendar_visual_review_20260816/2608040__2608040- Wilfred - el universo me susurro en sueños.jpeg,/home/ubuntu/calendar_visual_review_20260816/2608040__2608040- Wilfred - el universo me susurro en sueños.jpeg=f61a921add8ec9e952735ed55c3faa961b5e17ef4d832748364c15ed53075fbb,,Identity_Verified_Inventory_Missing,No,None,Approve alias normalization or create non-CNT inventory row; do not alter source inventory automatically.
