Alias_ID,Asset_Key,Inventory_ID,Inventory_Asset_Ref,Inventory_Asset_Filename,Drive_ID,Publication_ID,Publication_Asset_Ref,Plataforma,Meta_Post_ID,Meta_Photo_ID,Permalink,Fecha_Planeada_Local,Hora_Planeada_Local,Fecha_Publicacion_Local,Hora_Publicacion_Local,Estado_Publicacion,Match_Method,Confidence,Source,Notes
ALIAS-0001,2608030,CNT-031,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,1qiqa3QReNG3HuholxQsepFN9eDMZTY0c,PUB-FB-15_16-01,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,Facebook,1036844829507460_122150559441072582,122150559393072582,https://www.facebook.com/122146890051072582/posts/122150559441072582,2026-08-15,10:00,2026-08-15,10:00:22,Publicado,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0002,260583,CNT-032,260583 - Universe.png,260583 - Universe.png,1LP2gRjhajrtuVuMp7nDtgPQnGs_UVQvc,PUB-FB-15_16-02,260583 - Universe.png,Facebook,1036844829507460_122150559591072582,122150559555072582,https://www.facebook.com/122146890051072582/posts/122150559591072582,2026-08-15,11:00,2026-08-15,11:00:05,Publicado,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0003,260583,CNT-032,260583 - Universe.png,260583 - Universe.png,1LP2gRjhajrtuVuMp7nDtgPQnGs_UVQvc,PUB-IG-TEST-02,260583 - Universe.png,Instagram,,,https://www.instagram.com/p/DcDHxq5AMHh/,2026-08-15,11:00,2026-08-14T23:19:29-06:00,,Eliminada_Manualmente,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0004,2608033,CNT-033,2608033 - Fantasma - vendra primero mi boda o jesus.jpeg,2608033 - Fantasma - vendra primero mi boda o jesus.jpeg,1BPIL_PlooeaozXKFQASEBKBG6XS6QOsX,PUB-FB-15_16-03,2608033 - Fantasma - vendra primero mi boda o jesus.jpeg,Facebook,1036844829507460_122150559693072582,122150559639072582,https://www.facebook.com/122146890051072582/posts/122150559693072582,2026-08-15,13:30,2026-08-15,13:30:00,Publicado,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0005,260539,CNT-034,260539 - Evan+Kiri.png,260539 - Evan+Kiri.png,1KNu65N-ND9fNJhgLQXbebMGgLvYCSSei,PUB-FB-15_16-04,260539 - Evan+Kiri.png,Facebook,1036844829507460_122150559765072582,122150559729072582,https://www.facebook.com/122146890051072582/posts/122150559765072582,2026-08-15,19:00,2026-08-15,19:00:00,Publicado,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0006,2608037,CNT-035,2608037- Universe - soñe que era un litrro de agua.jpeg,2608037- Universe - soñe que era un litrro de agua.jpeg,1crVxp8PdaxYw2cy3tb5QQi_dSuxI9aYa,PUB-FB-15_16-05,2608037- Universe - soñe que era un litrro de agua.jpeg,Facebook,1036844829507460_122150559873072582,122150559807072582,https://www.facebook.com/122146890051072582/posts/122150559873072582,2026-08-16,10:00,2026-08-16,10:00:00,Publicado,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0007,260673,CNT-036,260673 - Universe.png,260673 - Universe.png,1zBODSIjUwzVgHWd7K08alMucWq4RvuO5,PUB-FB-15_16-06,260673 - Universe.png,Facebook,1036844829507460_122150559981072582,122150559921072582,https://www.facebook.com/122146890051072582/posts/122150559981072582,2026-08-16,13:30,2026-08-16,13:30:00,Publicado,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0008,2608036,CNT-037,2608036- Elara+Evan - Nadie nos soporta.jpeg,2608036- Elara+Evan - Nadie nos soporta.jpeg,1dM9LAsLF04If5MY3azfiFkIiUeLn-rBD,PUB-FB-15_16-07,2608036- Elara+Evan - Nadie nos soporta.jpeg,Facebook,1036844829507460_122150560083072582,122150560041072582,https://www.facebook.com/122146890051072582/posts/122150560083072582,2026-08-16,16:00,2026-08-16,16:00:00,Publicado,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0009,2608060,CNT-038,2608060 - Kael+Maeve - gustos salvajones.jpeg,2608060 - Kael+Maeve - gustos salvajones.jpeg,1FaRLXsAkB7pS67-w1pN4o6yDQcWyDh2l,PUB-FB-15_16-08,2608060 - Kael+Maeve - gustos salvajones.jpeg,Facebook,1036844829507460_122150560215072582,122150560143072582,https://www.facebook.com/122146890051072582/posts/122150560215072582,2026-08-16,19:00,2026-08-16,19:00:00,Publicado,Normalized_numeric_asset_key,High,Content_Inventory.csv + Publication_Log.csv,Exact numeric asset key shared by Publication Log and Content Inventory; no CNT inferred.
ALIAS-0010,,,,,,PUB-FB-15_16-09,humor4.16.png,Facebook,1036844829507460_122150560383072582,122150560341072582,https://www.facebook.com/122146890051072582/posts/122150560383072582,2026-08-16,22:00,2026-08-16,22:00:00,Publicado,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0011,,,,,,PUB-FB-2026-07-30-CNT002,,Facebook,1036844829507460_122143141185072582,,https://www.facebook.com/reel/911880681976378/,2026-07-30,,2026-07-30,08:16:47,Publicado,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
ALIAS-0012,,,,,,PUB-FB-2026-08-08-CNT023,,Facebook,1036844829507460_122147352825072582,,https://www.facebook.com/reel/1067337609170026/,,,2026-08-08,19:19:54,Publicado,No_inventory_match,Review,Content_Inventory.csv + Publication_Log.csv,No matching inventory row by normalized numeric key; preserve as alias gap and do not create CNT.
