date_local,time_local,content_type,interactions,reactions,comments,shares,piece_id,asset_ref,meta_post_id,permalink_url,join_status
2026-08-21,19:00:05,Image_or_post,20,11,2,7,,260614 - Universe.png,1036844829507460_122151375843072582,https://www.facebook.com/122146890051072582/posts/122151375843072582,Matched_Publication_Log
2026-08-21,16:30:59,Reel,9,7,1,1,,,1036844829507460_122154017667072582,https://www.facebook.com/reel/2005557463434064/,No_Publication_Log_Match
2026-08-21,13:30:00,Image_or_post,30,21,2,7,,2608049 - Elara - Tibio tu cafe.jpeg,1036844829507460_122151375759072582,https://www.facebook.com/122146890051072582/posts/122151375759072582,Matched_Publication_Log
2026-08-21,11:00:07,Image_or_post,63,47,0,16,,260635 - Universe.png,1036844829507460_122151375627072582,https://www.facebook.com/122146890051072582/posts/122151375627072582,Matched_Publication_Log
2026-08-21,10:00:10,Image_or_post,57,38,0,19,,2607838 - Dios - Quien me creo a mi (29-jun-26).png,1036844829507460_122151375549072582,https://www.facebook.com/122146890051072582/posts/122151375549072582,Matched_Publication_Log
2026-08-20,19:00:05,Image_or_post,29,24,2,3,,2608041 - Maeve+kael - No me averguenza amar.jpeg,1036844829507460_122151375465072582,https://www.facebook.com/122146890051072582/posts/122151375465072582,Matched_Publication_Log
2026-08-20,18:04:21,Reel,11,7,1,3,,,1036844829507460_122153750763072582,https://www.facebook.com/reel/2815726225473165/,No_Publication_Log_Match
2026-08-20,17:00:13,Image_or_post,49,35,2,12,,260508 - Universe.jpg,1036844829507460_122151375375072582,https://www.facebook.com/122146890051072582/posts/122151375375072582,Matched_Publication_Log
2026-08-20,16:00:03,Image_or_post,34,22,3,9,,2608056 - Wilfred - Analize tu contexto.jpeg,1036844829507460_122151375303072582,https://www.facebook.com/122146890051072582/posts/122151375303072582,Matched_Publication_Log
2026-08-20,13:30:00,Image_or_post,36,26,5,5,,260659 - Universe.png,1036844829507460_122151375189072582,https://www.facebook.com/122146890051072582/posts/122151375189072582,Matched_Publication_Log
2026-08-20,11:00:54,Image_or_post,78,52,2,24,,2608038- Ganso - Mejor pudriendome en dinero.jpeg,1036844829507460_122151375111072582,https://www.facebook.com/122146890051072582/posts/122151375111072582,Matched_Publication_Log
2026-08-20,10:00:23,Image_or_post,79,53,0,26,,2607794 - Universe - Aver.. A ver... (22-jun-26).png,1036844829507460_122151374997072582,https://www.facebook.com/122146890051072582/posts/122151374997072582,Matched_Publication_Log
