Meta_ID,Fecha_Local,Caption,Interacciones,Reacciones,Comentarios,Shares,Hora_Local,Motivo_Seleccion,Rank_Shares,Rank_Comentarios,Prioridad_Actual,Asset_Ref,Drive_ID,CNT_Editorial,Evidencia
1036844829507460_122139232911072582,2026-07-16T20:00:14-06:00,😮‍💨,3740,2805,31,904,20.0,Top_12_Shares+Top_12_Comentarios,1,3,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122135607981072582,2026-07-03T20:01:02-06:00,😋,2441,1652,15,774,20.016666666666666,Top_12_Shares+Top_12_Comentarios,2,6,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122135586723072582,2026-07-03T17:16:57-06:00,Ya va ser la hora del tecito 😇 #UniverseSentMe #vidareal #relatable #problemas,2280,1533,9,738,17.266666666666666,Top_12_Shares,3,,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122141376093072582,2026-07-24T09:39:55-06:00,🫣🫣 #UniverseSentMe #humor #relatable #astrologia #retrogrado,3002,2336,41,625,9.65,Top_12_Shares+Top_12_Comentarios,4,2,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122135016567072582,2026-07-01T16:42:58-06:00,😉,1972,1412,10,550,16.7,Top_12_Shares+Top_12_Comentarios,5,12,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122139161997072582,2026-07-15T18:00:01-06:00,Un honguirijillo...,1982,1470,7,505,18.0,Top_12_Shares,6,,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122140439079072582,2026-07-19T14:00:08-06:00,😌 lo siento vv #UniverseSentMe #humor,1338,903,13,422,14.0,Top_12_Shares+Top_12_Comentarios,7,9,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122140751031072582,2026-07-20T18:03:25-06:00,Me encanta bruce lee.. c: #UniverseSentMe,1693,1278,6,409,18.05,Top_12_Shares,8,,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122138831577072582,2026-07-12T18:33:26-06:00,ufff... 🥴,1035,651,16,368,18.55,Top_12_Shares+Top_12_Comentarios,9,5,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122138846193072582,2026-07-13T16:00:06-06:00,😈 Ya fue mucha solteria,1609,1259,15,335,16.0,Top_12_Shares+Top_12_Comentarios,10,7,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122136954147072582,2026-07-06T23:02:01-06:00,🫣🫣,1076,746,8,322,23.033333333333335,Top_12_Shares,11,,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122137968789072582,2026-07-09T20:00:03-06:00,Por fin alguien que resuelve. 😝 #UniverseSentMe #empatia #Resuelve #vidareal,784,553,7,224,20.0,Top_12_Shares,12,,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122142625983072582,2026-07-27T18:00:00-06:00,Abrazos que curan el alma #UniverseSentMe #Abrazarte #MomentosUSM,666,512,12,142,18.0,Top_12_Comentarios,,11,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122143527921072582,2026-07-31T15:00:00-06:00,"No todos los hadas dan flores y mariposas. Algunas te dan la verdad y te dejan sentada frente a la hoguera procesándola. Kiri no vino a consolarte. Vino a recordarte que lo que no entiendes te controla. Y hoy, por fin, algo hizo click. El bosque no miente. Las preguntas correctas duelen al principio, pero te liberan al final. ¿Qué fue eso que recién entendiste? Cuéntamelo en los comentarios. 👇 #KiriUSM #LoresUSM #MomentosUSM #UniverseSentMe #relatable #humor",665,524,14,127,15.0,Top_12_Comentarios,,8,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122142624879072582,2026-07-27T15:20:01-06:00,☺️😊 #UniverseSentMe #memesUSM #humor,1018,900,23,95,15.333333333333334,Top_12_Comentarios,,4,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122135577327072582,2026-07-03T14:20:46-06:00,🤡 están todos invitados...,660,558,13,89,14.333333333333334,Top_12_Comentarios,,10,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
1036844829507460_122136562323072582,2026-07-05T11:55:14-06:00,a ver.. 👀 Universe Sent Me #memes #HumorRelatable #memedeldia #UniverseSentMe,122,37,72,13,11.916666666666666,Top_12_Comentarios,,1,Needs_Visual_Match,,,,Selected from homogeneous July dataset; no visual match asserted.
