Meta_ID,Fecha_Local,Interacciones,Shares,Comentarios,Status,Distance,Second_Best_Distance,Drive_ID_Candidate,Drive_Filename_Candidate,Drive_Thumbnail,Asset_Ref_Candidate,CNT_Editorial,Evidence_Note
1036844829507460_122139232911072582,2026-07-16T20:00:14-06:00,3740,904,31,Visual_Match_Confirmed,12,267,1VR2togwy0qBf2BEeIpr6E3QQaiZOjmzZ,Universe - Existencial 2607943.jpeg,https://lh3.googleusercontent.com/drive-storage/AJQWtBNQseGfhQiAlma4hYs5t-MdACiUopa2UbGIpy1aAKZWQP04S2MX1TGNxWmMK6LjVgLA9jkBNB7GdrKmK065Ra9IItxIdydmKrVYysKM2jDa_kJBsg=s220,2607943,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122135607981072582,2026-07-03T20:01:02-06:00,2441,774,15,Visual_Match_Confirmed,13,418,1MHc0fbYX1kTv7utMm0nNIUbgR0j9_Dgh,Universe - Existencial 2607866.png,https://lh3.googleusercontent.com/drive-storage/AJQWtBOU3ATWTimVwr2vxrqZHFFEkaoYkCq_5a_Ccz4EksYzqHI2Qh4G4ZXP8nUxtSZmRwJajF-bcaE82GPQlVT1P0wlTQgzvUnHt9_Ewzv0heisbh81_Q=s220,2607866,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122135586723072582,2026-07-03T17:16:57-06:00,2280,738,9,Visual_Match_Confirmed,15,378,1mff6GRM-m6IKh3RJlhgbAO7IROB9bjQ6,Universe - Existencial 2607865.png,https://lh3.googleusercontent.com/drive-storage/AJQWtBPfoNKyXrOr9EonIuvgj_4idg8pqTotlgOP5zWHr--i-zicw0ynvZ1eE3MvKaMjDoj_3Thx4Fu0xeTFkn-eabdFj6dE13Xr9t1b-v1JOOqW-weoKg=s220,2607865,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122141376093072582,2026-07-24T09:39:55-06:00,3002,625,41,Visual_Match_Confirmed,18,357,1dnanNuZs0numO_rTG-BTEsAG6K-vPQuw,Universe - Existencial 260582.png,https://lh3.googleusercontent.com/drive-storage/AJQWtBOrpoY-doD20nGU5k3pK_L8EyeC2XsJmhlP1e8kZ_rpUsQ361PFGwHs2otGoN-UaJkoxBrM9NP4jztfNm-wgZZL4kDBAnPH7kr0EQ-EsEwv_w9erQ=s220,260582,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122135016567072582,2026-07-01T16:42:58-06:00,1972,550,10,Visual_Match_Confirmed,17,358,10PC7IiM8wMVqMkVoc3xBS1QN5BNcUyhe,Universe - Existencial 2607852.png,https://lh3.googleusercontent.com/drive-storage/AJQWtBNceNVj9uKqWoS_KHf7y5K3C3L4nNgVdN5m2vzezXExvLTLemISqUQ2V-ciPhZacQZ6YOllXGrM9t5Nc0pQa2ROzMdKRhlV8h7g1Qt0LJdrLaJR7w=s220,2607852,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122139161997072582,2026-07-15T18:00:01-06:00,1982,505,7,Visual_Match_Confirmed,7,335,1Ymk7y9Ooq882_C4VNV-BuRWSXHHcSS6B,Universe - Existencial 2607928.jpeg,https://lh3.googleusercontent.com/drive-storage/AJQWtBPfjnUZe0jN03kisrO1hlwMSMaltji9TZSHuR9wnrZHdSE4nOomwCwR11YE3wv4rSaCzLhBrjZQhmXsvNWJ3G3AM5XXkXFb146JriCU654ZLrSLVw=s220,2607928,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122140439079072582,2026-07-19T14:00:08-06:00,1338,422,13,Visual_Match_Confirmed,36,288,1bh19wMDFiN9W_peRN43Tgsv_CjaRcx0x,Universe - Existencial 2607956.jpeg,https://lh3.googleusercontent.com/drive-storage/AJQWtBM3I0h9I6EHn3Uc50arFszeZOvoq72p12E-18Oyc6vrx3RDJ4CrCdvLcJqF2e5Gaqtr6xNag6zwx-aO_axr9pV9hM9JqT-YxVUEQXdxUumnRSRyjw=s220,2607956,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122140751031072582,2026-07-20T18:03:25-06:00,1693,409,6,Visual_Match_Confirmed,51,252,1TQFHbwkYnDu3fNxy25IvhxoWyExhVJD0,Universe - Existencial 2607960.jpeg,https://lh3.googleusercontent.com/drive-storage/AJQWtBM6H4s55PYKlGw2-1EIox-_7RJtlLG6wr91zS_WBJUfV08vqXN0C5t5mJSRJYB7W2AJC27jH_wFwNIi7ybPSmr-nNiHkOCR8Xt0c5f3Quqr9uv1ZQ=s220,2607960,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122138831577072582,2026-07-12T18:33:26-06:00,1035,368,16,Visual_Match_Confirmed,15,315,1PgLpqI_iaZyS5LzNzscYmOHkTgQugwuI,Universe - Existencial 2607906.png,https://lh3.googleusercontent.com/drive-storage/AJQWtBO7zEDerWpV6sD7Te7hRgt7Xmc9OREDumaHXpSPwN7UbQnPYYM5IXOFyp8iA_ONVDQMWk1-EBV4D8nT_r3GKjbxenpndK5fC2CNU88ZQ2ppCtlzNA=s220,2607906,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122138846193072582,2026-07-13T16:00:06-06:00,1609,335,15,Visual_Match_Confirmed,18,336,1zYgrglRgtLtVDWj0r9w4fOCQWQGRG2pS,Universe - Existencial 2607914.jpeg,https://lh3.googleusercontent.com/drive-storage/AJQWtBOVVz4J5LJSMbkHWTCtYZafROJ6QsuE3M4Fod2P2_Roh4AYyTV6I8cgGH9FRFf2y7q1PcwDV-M1ywmox85vKsNGTtLpWTwOUAORno9kw8_yKTKpmA=s220,2607914,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122136954147072582,2026-07-06T23:02:01-06:00,1076,322,8,Visual_Match_Confirmed,9,350,1tJtZggTq-12_tjU3UXcG2YIZQvOCggnR,Universe - Existencial 2607880.png,https://lh3.googleusercontent.com/drive-storage/AJQWtBOhnXermeC7UL2J6yrQNAZyG26XL1vyeh4O9SO84GSMArsrQoq_Ccj8_ZYGFX6aFXu9ERkLZt5NtecC95h2Kssqy5HfZLGaj6QFugTtCnBNukqIlw=s220,2607880,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122137968789072582,2026-07-09T20:00:03-06:00,784,224,7,Visual_Match_Confirmed,16,251,1ec0v6jD3Rn9-3W3SP9RQ4mPYpRVl8Gk5,Universe - Existencial 2607890.png,https://lh3.googleusercontent.com/drive-storage/AJQWtBOf0-xIUau4nF0eOtfux5JravhQ9YGUa4CTRuWcCTOymbEbjBOWO0kVeGN1nvF00WNryJdQ44IyGqzKsQJN2sBvDBhWodsK3vfUXIzAO5uToYsMfA=s220,2607890,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122142625983072582,2026-07-27T18:00:00-06:00,666,142,12,Visual_Match_Confirmed,14,218,1ZVLb7kupmCqQOsKHltneD6B7J2fq32UT,Universe - Existencial 2607985.jpeg,https://lh3.googleusercontent.com/drive-storage/AJQWtBNb3IV1hblkkbSNXPrK5yHAohmcMwh1p1SyyE8o2aOhMz0BAJNgO0TYDkUVOGespEDlNcVlW-lpiCWsHjlTsEfiE3-CTK6Sy02UHwdAX9U_B38gmA=s220,2607985,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122143527921072582,2026-07-31T15:00:00-06:00,665,127,14,Visual_Match_Confirmed,16,258,1hf139EVHm_Q2R0FVRCpBfRE6pUxVP9ea,Universe - Existencial 2607999.jpeg,https://lh3.googleusercontent.com/drive-storage/AJQWtBMqtfHPySLsVaonUB72u__h5y90_cg77Ai18Pi-euGdfXzW0fUXX1JGAg6JgMHTiE4GeAdH8cPjVefYkAvdo1cTCT36bbNE4RjJN-HPSuTSzXaBJw=s220,2607999,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122142624879072582,2026-07-27T15:20:01-06:00,1018,95,23,Visual_Candidate_Review,166,314,1yIedBN0HSoESMZMNwUp6Y9hMy-uJSAAd,Universe - Existencial 2607984.jpeg,https://lh3.googleusercontent.com/drive-storage/AJQWtBMb5Xl5xmwcVTcHNgyYLR5ibSaFyo8CyiRtj6Ke2YTIDUIs8toaMj1QtKHkpkQe6BhXlsO9Ohu6iTLA2sbW5IDAyTl71xSUJTkMJKTjhO4mVaM4Nw=s220,,,Perceptual similarity shortlist only; requires visual confirmation before inventory integration.
1036844829507460_122135577327072582,2026-07-03T14:20:46-06:00,660,89,13,Visual_Match_Confirmed,8,157,1p5_MqowIeKoTIIIGn9KbKjgX1M8sal_K,Universe - Existencial 2607864.png,https://lh3.googleusercontent.com/drive-storage/AJQWtBPMUVMzjEC_fFUGx2a1aKPBxXkwAbt31-Imft9O4tldrJyPo5C9B0mylqDEwIxL-rM_mfY6Zmw_jP83kQ3PlexxpShhIh-SG_e3w6hWzxL2jCcAcA=s220,2607864,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
1036844829507460_122136562323072582,2026-07-05T11:55:14-06:00,122,13,72,Visual_Match_Confirmed,12,293,1xeV1ZLnQd_YmJYOhkd1QI5YZdAXWwaGp,Universe - Existencial 2607874.png,https://lh3.googleusercontent.com/drive-storage/AJQWtBN3eHPCChlKpPUWNMcjXto1qs0Oput4hmzZktDozysReF_Q7GtHxvo2l622YQUF2SZY7ZrSSwgxb-qRzWaRpcrFSKLeYUn1ng4uB3ff4BN_JmSUyA=s220,2607874,,Visual match confirmed from Meta image and Drive thumbnail; filename used only after visual confirmation.
