Record_Type,Brief_ID,Cell_ID,Metric,Scenario,Historical_n,Clean_n,Contaminated_n,New_Case_Value,Clean_Mean,Contaminated_Mean,Mean_Bias_Pct,Clean_Median,Contaminated_Median,Median_Bias_Pct,Denominator_Overstatement_Pct,Overlap_Family,Wave1_Planned_n,Wave1_Contaminated_n,Wave1_Denominator_Overstatement_Pct,Wave1_Duplicate_Share_Pct,Schedule_Overlap,Caption_Treatment_Overlap,Interpretation
Metric_Sensitivity,FUT-MICRO-005,MICRO-STRICT-3P,Interacciones,cell_median,1,2,3,155.00,155.00,155.00,0.00,155.00,155.00,0.00,50.00,,,,,,,,La misma pieza se cuenta dos veces dentro de la celda: el escenario contaminado añade una copia del caso nuevo; no representa rendimiento adicional real.
Metric_Sensitivity,FUT-MICRO-005,MICRO-STRICT-3P,Interacciones,cell_mean,1,2,3,155.00,155.00,155.00,0.00,155.00,155.00,0.00,50.00,,,,,,,,La misma pieza se cuenta dos veces dentro de la celda: el escenario contaminado añade una copia del caso nuevo; no representa rendimiento adicional real.
Metric_Sensitivity,FUT-MICRO-005,MICRO-STRICT-3P,Interacciones,cell_max,1,2,3,155.00,155.00,155.00,0.00,155.00,155.00,0.00,50.00,,,,,,,,La misma pieza se cuenta dos veces dentro de la celda: el escenario contaminado añade una copia del caso nuevo; no representa rendimiento adicional real.
Metric_Sensitivity,FUT-MICRO-005,MICRO-STRICT-3P,Shares,cell_median,1,2,3,19.00,19.00,19.00,0.00,19.00,19.00,0.00,50.00,,,,,,,,La misma pieza se cuenta dos veces dentro de la celda: el escenario contaminado añade una copia del caso nuevo; no representa rendimiento adicional real.
Metric_Sensitivity,FUT-MICRO-005,MICRO-STRICT-3P,Shares,cell_mean,1,2,3,19.00,19.00,19.00,0.00,19.00,19.00,0.00,50.00,,,,,,,,La misma pieza se cuenta dos veces dentro de la celda: el escenario contaminado añade una copia del caso nuevo; no representa rendimiento adicional real.
Metric_Sensitivity,FUT-MICRO-005,MICRO-STRICT-3P,Shares,cell_max,1,2,3,19.00,19.00,19.00,0.00,19.00,19.00,0.00,50.00,,,,,,,,La misma pieza se cuenta dos veces dentro de la celda: el escenario contaminado añade una copia del caso nuevo; no representa rendimiento adicional real.
Metric_Sensitivity,FUT-MICRO-006,MICRO-STRICT-3P,Interacciones,cell_median,1,2,3,155.00,155.00,155.00,0.00,155.00,155.00,0.00,50.00,,,,,,,,La misma pieza se cuenta dos veces dentro de la celda: el escenario contaminado añade una copia del caso nuevo; no representa rendimiento adicional real.
Metric_Sensitivity,FUT-MICRO-006,MICRO-STRICT-3P,Interacciones,cell_mean,1,2,3,155.00,155.00,155.00,0.00,155.00,155.00,0.00,50.00,,,,,,,,La misma pieza se cuenta dos veces dentro de la celda: el escenario contaminado añade una copia del caso nuevo; no representa rendimiento adicional real.
Metric_Sensitivity,FUT-MICRO-006,MICRO-STRICT-3P,Interacciones,cell_max,1,2,3,155.00,155.00,155.00,0.00,155.00,155.00,0.00,50.00,,,,,,,,La misma pieza se cuenta dos veces dentro de la celda: el escenario contaminado añade una copia del caso nuevo; no representa rendimiento adicional real.
Metric_Sensitivity,FUT-MICRO-006,MICRO-STRICT-3P,Shares,cell_median,1,2,3,19.00,19.00,19.00,0.00,19.00,19.00,0.00,50.00,,,,,,,,La misma pieza se cuenta dos veces dentro de la celda: el escenario contaminado añade una copia del caso nuevo; no representa rendimiento adicional real.
Metric_Sensitivity,FUT-MICRO-006,MICRO-STRICT-3P,Shares,cell_mean,1,2,3,19.00,19.00,19.00,0.00,19.00,19.00,0.00,50.00,,,,,,,,La misma pieza se cuenta dos veces dentro de la celda: el escenario contaminado añade una copia del caso nuevo; no representa rendimiento adicional real.
Metric_Sensitivity,FUT-MICRO-006,MICRO-STRICT-3P,Shares,cell_max,1,2,3,19.00,19.00,19.00,0.00,19.00,19.00,0.00,50.00,,,,,,,,La misma pieza se cuenta dos veces dentro de la celda: el escenario contaminado añade una copia del caso nuevo; no representa rendimiento adicional real.
