dimension,segment,posts_n,interactions_total,interactions_mean,interactions_median,reactions_total,comments_total,shares_known_total,shares_missing_n
global,all,42,3464,82.48,40.5,2544,101,819,2
format,Image_or_post,38,3421,90.03,46.0,2511,97,813,1
format,Reel,4,43,10.75,11.5,33,4,6,1
day,2026-08-16,5,280,56,49,206,12,62,0
day,2026-08-17,6,1513,252.17,58.0,1094,14,405,0
day,2026-08-18,6,201,33.5,32.5,149,10,42,1
day,2026-08-19,7,397,56.71,36,326,17,54,1
day,2026-08-20,7,335,47.86,38,236,15,84,0
day,2026-08-21,5,586,117.2,117,424,9,153,0
day,2026-08-22,6,152,25.33,23.0,109,24,19,0
type,Fuera_de_calendario_o_no_mapeado,9,323,35.89,33,239,16,68,1
type,Reuse_Top,17,1209,71.12,55,894,43,272,0
type,Nueva,16,1932,120.75,40.0,1411,42,479,1
hour,11:00,7,1450,207.14,81,1062,26,362,0
hour,14:30,1,61,61,61,46,3,12,0
hour,17:00,5,391,78.2,55,295,15,81,0
hour,20:00,1,49,49,49,36,2,11,0
hour,23:00,1,33,33,33,20,3,10,0
hour,10:00,6,560,93.33,68.5,415,11,134,0
hour,13:30,6,219,36.5,39.0,163,19,37,0
hour,16:00,4,117,29.25,30.0,86,7,24,0
hour,19:00,6,536,89.33,30.5,385,10,141,1
hour,19:03,1,2,2,2,2,0,0,1
hour,18:04,1,11,11,11,7,1,3,0
hour,16:30,1,12,12,12,10,1,1,0
hour,17:23,1,18,18,18,14,2,2,0
hour,22:00,1,5,5,5,3,1,1,0
