period,scope,posts,date_min,date_max,active_days,posts_per_active_day,interactions_total,interactions_per_active_day,interactions_mean,interactions_median,interactions_p90,reactions_total,comments_total,shares_total,reactions_median,comments_median,shares_median,shares_per_interaction,comments_per_interaction
2026-06_all,all_or_reels,230,2026-06-01,2026-06-30,30,7.666666666666667,18270.0,609.0,79.43478260869566,10.0,171.0,13940.0,420.0,3910.0,8.0,1.0,1.0,0.2140120415982485,0.022988505747126436
2026-07_all,all_or_reels,207,2026-07-01,2026-07-31,31,6.67741935483871,68024.0,2194.3225806451615,328.6183574879227,43.0,677.0,48419.0,929.0,18676.0,35.0,2.0,7.0,0.27455015876749383,0.013656944607785488
2026-08_1_14_all,all_or_reels,64,2026-08-01,2026-08-14,14,4.571428571428571,12293.0,878.0714285714286,192.078125,29.0,297.0,8539.0,237.0,3517.0,23.0,2.0,5.0,0.2860977792239486,0.019279264622142682
2026-06_images,image_or_post,201,2026-06-01,2026-06-30,30,6.7,17985.0,599.5,89.4776119402985,11.0,351.0,13698.0,405.0,3882.0,8.0,1.0,1.0,0.2158465387823186,0.022518765638031693
2026-07_images,image_or_post,199,2026-07-01,2026-07-31,31,6.419354838709677,67727.0,2184.7419354838707,340.33668341708545,49.0,692.0,48188.0,910.0,18629.0,37.0,2.0,8.0,0.27506016802752226,0.013436295716627047
2026-08_1_14_images,image_or_post,56,2026-08-01,2026-08-14,14,4.0,12170.0,869.2857142857143,217.32142857142858,35.0,397.0,8442.0,223.0,3505.0,26.0,2.0,6.5,0.2880032867707477,0.018323746918652423
2026-06_reels,all_or_reels,29,2026-06-01,2026-06-30,18,1.6111111111111112,285.0,15.833333333333334,9.827586206896552,8.0,20.0,242.0,15.0,28.0,7.0,0.0,1.0,0.09824561403508772,0.05263157894736842
2026-07_reels,all_or_reels,8,2026-07-04,2026-07-30,7,1.1428571428571428,297.0,42.42857142857143,37.125,25.5,164.0,231.0,19.0,47.0,20.5,2.5,1.5,0.15824915824915825,0.06397306397306397
2026-08_1_14_reels,all_or_reels,8,2026-08-01,2026-08-11,7,1.1428571428571428,123.0,17.571428571428573,15.375,16.5,24.0,97.0,14.0,12.0,13.0,1.5,1.0,0.0975609756097561,0.11382113821138211
2026-08_1_21_images,image_or_post,93,2026-08-01,2026-08-21,21,4.428571428571429,14812.0,705.3333333333334,159.2688172043011,40.0,273.0,10379.0,304.0,4129.0,29.0,2.0,8.0,0.27876046448825276,0.020523899540912775
2026-08_1_21_reels,all_or_reels,11,2026-08-01,2026-08-21,10,1.1,145.0,14.5,13.181818181818182,11.0,22.0,113.0,16.0,16.0,8.0,1.0,1.0,0.1103448275862069,0.1103448275862069
2026-06_first14_images,image_or_post,111,2026-06-01,2026-06-14,14,7.928571428571429,6630.0,473.57142857142856,59.729729729729726,6.0,47.0,5069.0,178.0,1383.0,5.0,1.0,0.0,0.2085972850678733,0.026847662141779787
2026-07_first14_images,image_or_post,93,2026-07-01,2026-07-14,14,6.642857142857143,22320.0,1594.2857142857142,240.0,41.0,639.0,16624.0,372.0,5324.0,33.0,2.0,7.0,0.23853046594982077,0.016666666666666666
2026-08_first14_images,image_or_post,56,2026-08-01,2026-08-14,14,4.0,12170.0,869.2857142857143,217.32142857142858,35.0,397.0,8442.0,223.0,3505.0,26.0,2.0,6.5,0.2880032867707477,0.018323746918652423
