Seed_ID,Drive_ID,Filename,Mime_Type,Modified_Time,Size_Bytes,Web_View_Link,Source_Folder_ID,Visual_Review_Status,Editorial_Use,Direct_Publication_Allowed,Adaptation_Approval,Production_Asset_ID,Production_Drive_ID,Production_Drive_Link,Production_Status,Next_Action,Notes
DRIVE-MEME-001,1cSJrDodA0aJ93cr6kDJzz_YtLdd9e2sW,facebook_1787365161738_7496752847341020200.jpg,image/jpeg,2026-08-22T02:19:44.872Z,144664,https://drive.google.com/file/d/1cSJrDodA0aJ93cr6kDJzz_YtLdd9e2sW/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Visual_Reviewed,Seed_for_USM_Adaptation,No,Approved_2026-08-22,MEME-CAD-001,1UVoc0xR2lrZ-Tz9HCpTorC7VWm3Adiv1,https://drive.google.com/file/d/1UVoc0xR2lrZ-Tz9HCpTorC7VWm3Adiv1/view,Produced_v1_Pending_Human_Review,Review_produced_v1_before_final_asset,Gato con texto sobre envidia; referencia visual externa con firma La ironía nuestra. Se recreó con Universe y texto original.
DRIVE-MEME-002,1YkuEsPxCHui8OLbkdUizoXXenSYTYjj5,FB_IMG_1787346508109.jpg,image/jpeg,2026-08-21T21:09:35.832Z,140605,https://drive.google.com/file/d/1YkuEsPxCHui8OLbkdUizoXXenSYTYjj5/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Visual_Reviewed,Seed_for_USM_Adaptation,No,Approved_2026-08-22,MEME-CAD-002,1YhMuK4W_SeYo4gadhB1bPW06HHk4utMh,https://drive.google.com/file/d/1YhMuK4W_SeYo4gadhB1bPW06HHk4utMh/view,Produced_v1_Pending_Human_Review,Review_produced_v1_before_final_asset,Gato con lentes y texto sobre comportamiento; se recreó con Fantasma y texto original.
DRIVE-MEME-003,1xZFwdXGMyu70j-KOca1oSdDldmB_sZi7,.facebook_1787281284680_7496401041459321586.jpg,image/jpeg,2026-08-21T03:01:53.954Z,107319,https://drive.google.com/file/d/1xZFwdXGMyu70j-KOca1oSdDldmB_sZi7/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Visual_Reviewed,Seed_for_USM_Adaptation,No,Approved_2026-08-22,MEME-CAD-003,1cuUPN50Le409dMWG13pc-StEvdalRT9k,https://drive.google.com/file/d/1cuUPN50Le409dMWG13pc-StEvdalRT9k/view,Produced_v2_Pending_Human_Review,Review_produced_v2_before_final_asset,La v1 Elara/Aura (`1gCorbX_0SAZSj9XOjIt4pQtTEt-5KwN_`) queda supersedida por corrección conceptual: Silvio lanza una piedra-kármica en escenario tarotista; texto original preservado como mecánica adaptada.
DRIVE-MEME-004,1Od4ubSYmn_ybnsJjA_-zLVzbINQzDxON,facebook_1787195845422_7496042683237912804.jpg,image/jpeg,2026-08-20T03:17:51.974Z,62148,https://drive.google.com/file/d/1Od4ubSYmn_ybnsJjA_-zLVzbINQzDxON/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Visual_Reviewed,Inspiration_Only_Author_Identified,No,Not_Approved,,,Not_Produced,Keep_inspiration_only,Publicación de Maldita Summer con autoría identificable; no adaptar directamente.
DRIVE-MEME-005,1w4kRaiQtnvWCTbu3kuOS7-qJ8TAXP6e-,.facebook_1787152393877_7495860434250016642.jpg,image/jpeg,2026-08-19T15:14:02.115Z,144830,https://drive.google.com/file/d/1w4kRaiQtnvWCTbu3kuOS7-qJ8TAXP6e-/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Visual_Reviewed,Inspiration_Only_External_Media,No,Approved_2026-08-22,MEME-CAD-005,1JzhlbCkKzefE-Ov512-DHumh-YViAfJm,https://drive.google.com/file/d/1JzhlbCkKzefE-Ov512-DHumh-YViAfJm/view,Produced_v2_Pending_Human_Review,Review_produced_v2_before_final_asset,La v1 de documentación formal (`1U_oEdRM_FJPVuEtBGyWr86xhTPCVE9vH`) queda supersedida por corrección conceptual: publicación anónima con `Si tiene 7 me importas`, siete reacciones y seis lectores adicionales; Estudio oficial; la captura anime solo fue inspiración.
DRIVE-MEME-006,1BvBdkOcDTapSg6KGY7ss7nNBxyShJ5Ou,FB_IMG_1787023248495.jpg,image/jpeg,2026-08-18T03:21:29.999Z,228867,https://drive.google.com/file/d/1BvBdkOcDTapSg6KGY7ss7nNBxyShJ5Ou/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Visual_Reviewed,Seed_for_USM_Adaptation,No,Approved_2026-08-22,MEME-CAD-004,1DkGtc2EMWUs9MeLKUhLWO0yld9e5JNEr,https://drive.google.com/file/d/1DkGtc2EMWUs9MeLKUhLWO0yld9e5JNEr/view,Produced_v2_Pending_Human_Review,Review_produced_v2_before_final_asset,La v1 (`17teBcGZ9n2Yliv1Bx7ocDSb3pNBOjRkY`) queda supersedida por corrección de identidad: Wilfred alto y muy delgado, con bastón oficial completo y gema visible, en Bosque Ancestral.
DRIVE-MEME-007,1fCmNfg3wq_hbn42Kma69ILdzrMp4SA7o,20260105_201504.jpg,image/jpeg,2026-01-06T02:15:04.000Z,156658,https://drive.google.com/file/d/1fCmNfg3wq_hbn42Kma69ILdzrMp4SA7o/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Not_Reviewed,Unknown_Seed,No,Not_Approved,,,Not_Produced,Review_visual_and_authority_before_adaptation,Contenido antiguo sin nombre semántico; no clasificar sin revisión visual.
DRIVE-MEME-008,19q8NLqaKpy4E22QghHfpzfIpDCrQLF4Z,IMG_20230525_210916.jpg,image/jpeg,2023-05-26T02:09:16.000Z,71728,https://drive.google.com/file/d/19q8NLqaKpy4E22QghHfpzIpDCrQLF4Z/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Not_Reviewed,Unknown_Seed,No,Not_Approved,,,Not_Produced,Review_visual_and_authority_before_adaptation,Contenido antiguo sin nombre semántico; no clasificar sin revisión.
DRIVE-MEME-009,1R6mN0piCkSpU5nikg-2WjJfXkStQKH_0,IMG_20230525_210859.jpg,image/jpeg,2023-05-26T02:08:59.000Z,63128,https://drive.google.com/file/d/1R6mN0piCkSpU5nikg-2WjJfXkStQKH_0/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Not_Reviewed,Unknown_Seed,No,Not_Approved,,,Not_Produced,Review_visual_and_authority_before_adaptation,Contenido antiguo sin nombre semántico; no clasificar sin revisión.
DRIVE-MEME-010,1TgEoV7ytB-HyqkexleZMCWZ6LG4qviAG,IMG_20230525_210855.jpg,image/jpeg,2023-05-26T02:08:55.000Z,71530,https://drive.google.com/file/d/1TgEoV7ytB-HyqkexleZMCWZ6LG4qviAG/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Not_Reviewed,Unknown_Seed,No,Not_Approved,,,Not_Produced,Review_visual_and_authority_before_adaptation,Contenido antiguo sin nombre semántico; no clasificar sin revisión.
DRIVE-MEME-011,1ID3-X-oHJSduBWE1F5PC6-CwI2qbCtwp,IMG_20230525_210852.jpg,image/jpeg,2023-05-26T02:08:52.000Z,88424,https://drive.google.com/file/d/1ID3-X-oHJSduBWE1F5PC6-CwI2qbCtwp/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Not_Reviewed,Unknown_Seed,No,Not_Approved,,,Not_Produced,Review_visual_and_authority_before_adaptation,Contenido antiguo sin nombre semántico; no clasificar sin revisión.
DRIVE-MEME-012,1MU_8i2A-6FF_g6TqRGECHhqh40U8zuzz,IMG_20211210_001724.jpg,image/jpeg,2021-12-10T06:17:24.000Z,62842,https://drive.google.com/file/d/1MU_8i2A-6FF_g6TqRGECHhqh40U8zuzz/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Not_Reviewed,Unknown_Seed,No,Not_Approved,,,Not_Produced,Review_visual_and_authority_before_adaptation,Contenido antiguo sin nombre semántico; no clasificar sin revisión.
DRIVE-MEME-013,1ZPDlhdSLGjjV5mvg6KGwDwWY1wVvPbha,IMG_20211210_001526.jpg,image/jpeg,2021-12-10T06:15:26.000Z,61088,https://drive.google.com/file/d/1ZPDlhdSLGjjV5mvg6KGwDwWY1wVvPbha/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Not_Reviewed,Unknown_Seed,No,Not_Approved,,,Not_Produced,Review_visual_and_authority_before_adaptation,Contenido antiguo sin nombre semántico; no clasificar sin revisión.
DRIVE-MEME-014,1iGXgvMlW7o9nVKCKPIacwJp1uKvHS_5l,IMG_20211201_114530.jpg,image/jpeg,2021-12-01T17:45:30.000Z,53095,https://drive.google.com/file/d/1iGXgvMlW7o9nVKCKPIacwJp1uKvHS_5l/view?usp=drivesdk,1BpKZpUBIT5jBjkvw7epymlsD3Gp4lwzE,Not_Reviewed,Unknown_Seed,No,Not_Approved,,,Not_Produced,Review_visual_and_authority_before_adaptation,Contenido antiguo sin nombre semántico; no clasificar sin revisión visual.
