Review_Batch,Meta_Priority_Rank,Meta_Post_ID,Meta_Reel_ID,Publication_UTC,Engagement,Meta_Caption,Candidate_Rank,Drive_File_ID,Drive_File_Name,Drive_Folder_Path,Drive_MimeType,Drive_Created_UTC,Drive_Duration_ms,Date_Delta_Days,Meaningful_Token_Overlap,Triage_Score,Review_Status
NEXT10,6,1036844829507460_122125544019072582,1906363553379974,2026-06-01T18:52:17+0000,18,#universesentme #relatable #fblifestyle #vidareal #rockstar,1,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,,video/mp4,2026-06-04T20:32:20.064Z,7999,3.07,,17.93,Needs_visual_review
NEXT10,6,1036844829507460_122125544019072582,1906363553379974,2026-06-01T18:52:17+0000,18,#universesentme #relatable #fblifestyle #vidareal #rockstar,2,11R4SnZUnPc63fj-Gqbu2TtphiBOa357q,Universe sent me - 001.png,INSTAGRAM,image/png,2026-06-03T23:08:06.656Z,,2.18,,17.82,Needs_visual_review
NEXT10,6,1036844829507460_122125544019072582,1906363553379974,2026-06-01T18:52:17+0000,18,#universesentme #relatable #fblifestyle #vidareal #rockstar,3,1bHcZ24HjBewz2l0bt1XNf2wk6kdhDKoM,Universe sent me - 002.png,INSTAGRAM,image/png,2026-06-03T23:10:50.582Z,,2.18,,17.82,Needs_visual_review
NEXT10,6,1036844829507460_122125544019072582,1906363553379974,2026-06-01T18:52:17+0000,18,#universesentme #relatable #fblifestyle #vidareal #rockstar,4,1LYnpKq7qqjOGSK6AaWJWP7vWJBaX561c,Universe sent me - 003.png,INSTAGRAM,image/png,2026-06-03T23:13:21.029Z,,2.18,,17.82,Needs_visual_review
NEXT10,6,1036844829507460_122125544019072582,1906363553379974,2026-06-01T18:52:17+0000,18,#universesentme #relatable #fblifestyle #vidareal #rockstar,5,12gK6J-SwKYMisEpSAV31DCJGl_mW2uZ_,Universe sent me - 004.png,INSTAGRAM,image/png,2026-06-03T23:33:37.880Z,,2.2,,17.8,Needs_visual_review
NEXT10,7,1036844829507460_122129015739072582,991640670312120,2026-06-10T21:16:01+0000,18,🫠🫠🫠 #universesentme #relatable #vidareal #insight,1,15nHZZftnESgshlLevc0gK8N0zSqEq6Pp,Universe sent me - 022.png,INSTAGRAM,image/png,2026-06-10T21:41:45.750Z,,0.02,,19.98,Needs_visual_review
NEXT10,7,1036844829507460_122129015739072582,991640670312120,2026-06-10T21:16:01+0000,18,🫠🫠🫠 #universesentme #relatable #vidareal #insight,2,1Ehu7kSMzKMxlPGJVGkiyGoJLnyYHv_B0,Universe Real - 008.mp4,INSTAGRAM,video/mp4,2026-06-11T22:19:14.629Z,9999,1.04,,19.96,Needs_visual_review
NEXT10,7,1036844829507460_122129015739072582,991640670312120,2026-06-10T21:16:01+0000,18,🫠🫠🫠 #universesentme #relatable #vidareal #insight,3,1EkeGe3RB24J0RibBiExsJ0mHOBpOUGG4,"ChatGPT Image 11 jun 2026, 05_59_03 p.m.png",INSTAGRAM,image/png,2026-06-11T22:59:03.445Z,,1.07,,18.93,Needs_visual_review
NEXT10,7,1036844829507460_122129015739072582,991640670312120,2026-06-10T21:16:01+0000,18,🫠🫠🫠 #universesentme #relatable #vidareal #insight,4,1tuyTmU-a6TLpfceGiKH9fQXmDi1aur7u,Universe Real - 007.mp4,INSTAGRAM,video/mp4,2026-06-07T21:12:59.005Z,,3.0,,18.0,Needs_visual_review
NEXT10,7,1036844829507460_122129015739072582,991640670312120,2026-06-10T21:16:01+0000,18,🫠🫠🫠 #universesentme #relatable #vidareal #insight,5,1PnBZqU9JhJYVjHgLpfek-mqZQoyToy-I,Universe Real - 006.mp4,INSTAGRAM,video/mp4,2026-06-07T21:11:48.316Z,7999,3.0,,18.0,Needs_visual_review
NEXT10,8,1036844829507460_122117504565072582,1357137352923823,2026-05-02T22:00:59+0000,14,🥴🥴,1,175XnmOVnBPgVCFlwyDWCZ3jCAmB2MOjO,Fantasma_tranquilo_con_viento_202605241629.mp4,,video/mp4,2026-05-24T21:29:12.665Z,7999,21.98,,1,Needs_visual_review
NEXT10,8,1036844829507460_122117504565072582,1357137352923823,2026-05-02T22:00:59+0000,14,🥴🥴,2,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,,video/mp4,2026-06-04T20:32:20.064Z,7999,32.94,,1,Needs_visual_review
NEXT10,8,1036844829507460_122117504565072582,1357137352923823,2026-05-02T22:00:59+0000,14,🥴🥴,3,1wL0wmEoJzEE6QB65xXUwcQethEYGbUKf,Universe Real - 001.mp4,INSTAGRAM,video/mp4,2026-06-06T17:51:02.746Z,7999,34.83,,1,Needs_visual_review
NEXT10,8,1036844829507460_122117504565072582,1357137352923823,2026-05-02T22:00:59+0000,14,🥴🥴,4,1MswyZYpOUp7-CCjiQLzcCmyNXOXUxW89,Universe Real - 002.mp4,INSTAGRAM,video/mp4,2026-06-06T18:00:50.980Z,7999,34.83,,1,Needs_visual_review
NEXT10,8,1036844829507460_122117504565072582,1357137352923823,2026-05-02T22:00:59+0000,14,🥴🥴,5,10SjQf6tIHVDR8lW7ZmH-vl4FRjzNrAaz,Universe Real - 003.mp4,INSTAGRAM,video/mp4,2026-06-06T18:28:53.871Z,7999,34.85,,1,Needs_visual_review
NEXT10,9,1036844829507460_122117701161072582,26858527637139429,2026-05-04T15:53:01+0000,14,#UniverseSentMe #vidareal,1,175XnmOVnBPgVCFlwyDWCZ3jCAmB2MOjO,Fantasma_tranquilo_con_viento_202605241629.mp4,,video/mp4,2026-05-24T21:29:12.665Z,7999,20.23,,1,Needs_visual_review
NEXT10,9,1036844829507460_122117701161072582,26858527637139429,2026-05-04T15:53:01+0000,14,#UniverseSentMe #vidareal,2,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,,video/mp4,2026-06-04T20:32:20.064Z,7999,31.19,,1,Needs_visual_review
NEXT10,9,1036844829507460_122117701161072582,26858527637139429,2026-05-04T15:53:01+0000,14,#UniverseSentMe #vidareal,3,1wL0wmEoJzEE6QB65xXUwcQethEYGbUKf,Universe Real - 001.mp4,INSTAGRAM,video/mp4,2026-06-06T17:51:02.746Z,7999,33.08,,1,Needs_visual_review
NEXT10,9,1036844829507460_122117701161072582,26858527637139429,2026-05-04T15:53:01+0000,14,#UniverseSentMe #vidareal,4,1MswyZYpOUp7-CCjiQLzcCmyNXOXUxW89,Universe Real - 002.mp4,INSTAGRAM,video/mp4,2026-06-06T18:00:50.980Z,7999,33.09,,1,Needs_visual_review
NEXT10,9,1036844829507460_122117701161072582,26858527637139429,2026-05-04T15:53:01+0000,14,#UniverseSentMe #vidareal,5,10SjQf6tIHVDR8lW7ZmH-vl4FRjzNrAaz,Universe Real - 003.mp4,INSTAGRAM,video/mp4,2026-06-06T18:28:53.871Z,7999,33.11,,1,Needs_visual_review
NEXT10,10,1036844829507460_122127916017072582,1788853558497930,2026-06-07T16:51:25+0000,14,,1,1trt7UB5c9HRNU-wy_pFWcQzbQ3mIombJ,Universe Real - 005.mp4,INSTAGRAM,video/mp4,2026-06-07T14:52:23.817Z,,0.08,,20.92,Needs_visual_review
NEXT10,10,1036844829507460_122127916017072582,1788853558497930,2026-06-07T16:51:25+0000,14,,2,1PnBZqU9JhJYVjHgLpfek-mqZQoyToy-I,Universe Real - 006.mp4,INSTAGRAM,video/mp4,2026-06-07T21:11:48.316Z,7999,0.18,,20.82,Needs_visual_review
NEXT10,10,1036844829507460_122127916017072582,1788853558497930,2026-06-07T16:51:25+0000,14,,3,1tuyTmU-a6TLpfceGiKH9fQXmDi1aur7u,Universe Real - 007.mp4,INSTAGRAM,video/mp4,2026-06-07T21:12:59.005Z,,0.18,,20.82,Needs_visual_review
NEXT10,10,1036844829507460_122127916017072582,1788853558497930,2026-06-07T16:51:25+0000,14,,4,1JT036FJRCxnMH-DXqJ5EUzfJOlQ0YJZc,Universe Real - 004.mp4,INSTAGRAM,video/mp4,2026-06-06T20:12:56.295Z,7999,0.86,,20.14,Needs_visual_review
NEXT10,10,1036844829507460_122127916017072582,1788853558497930,2026-06-07T16:51:25+0000,14,,5,1rimI-m7w0FcodKXWE2z0_7Hm0c7LHKEO,64fe27f836344fdb2ba8e37c16e386f5.mp4,INSTAGRAM,video/mp4,2026-06-06T19:44:08.605Z,11133,0.88,,20.12,Needs_visual_review
NEXT10,11,1036844829507460_122118702813072582,1379496217270226,2026-05-07T16:17:15+0000,13,Me has dado muchos besos.. ✨,1,175XnmOVnBPgVCFlwyDWCZ3jCAmB2MOjO,Fantasma_tranquilo_con_viento_202605241629.mp4,,video/mp4,2026-05-24T21:29:12.665Z,7999,17.22,,3.78,Needs_visual_review
NEXT10,11,1036844829507460_122118702813072582,1379496217270226,2026-05-07T16:17:15+0000,13,Me has dado muchos besos.. ✨,2,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,,video/mp4,2026-06-04T20:32:20.064Z,7999,28.18,,1,Needs_visual_review
NEXT10,11,1036844829507460_122118702813072582,1379496217270226,2026-05-07T16:17:15+0000,13,Me has dado muchos besos.. ✨,3,1wL0wmEoJzEE6QB65xXUwcQethEYGbUKf,Universe Real - 001.mp4,INSTAGRAM,video/mp4,2026-06-06T17:51:02.746Z,7999,30.07,,1,Needs_visual_review
NEXT10,11,1036844829507460_122118702813072582,1379496217270226,2026-05-07T16:17:15+0000,13,Me has dado muchos besos.. ✨,4,1MswyZYpOUp7-CCjiQLzcCmyNXOXUxW89,Universe Real - 002.mp4,INSTAGRAM,video/mp4,2026-06-06T18:00:50.980Z,7999,30.07,,1,Needs_visual_review
NEXT10,11,1036844829507460_122118702813072582,1379496217270226,2026-05-07T16:17:15+0000,13,Me has dado muchos besos.. ✨,5,10SjQf6tIHVDR8lW7ZmH-vl4FRjzNrAaz,Universe Real - 003.mp4,INSTAGRAM,video/mp4,2026-06-06T18:28:53.871Z,7999,30.09,,1,Needs_visual_review
NEXT10,12,1036844829507460_122130329817072582,1518053389684402,2026-06-15T04:05:45+0000,13,Piensalo bien... #universesentme #fun #humorácido #humornegro,1,18GoVQOBam-Tgox4rXNyRwwZk19BBeEzF,Man_exerting_intense_physical_ef…_202606131851.mp4,,video/mp4,2026-06-13T23:51:45.731Z,9999,1.18,,19.82,Needs_visual_review
NEXT10,12,1036844829507460_122130329817072582,1518053389684402,2026-06-15T04:05:45+0000,13,Piensalo bien... #universesentme #fun #humorácido #humornegro,2,1vFRModK-KTYj6D9ZXhYBFhMOr3B-fS5F,Man_pressing_hands_temples_202606131832.mp4,,video/mp4,2026-06-13T23:32:24.911Z,7999,1.19,,19.81,Needs_visual_review
NEXT10,12,1036844829507460_122130329817072582,1518053389684402,2026-06-15T04:05:45+0000,13,Piensalo bien... #universesentme #fun #humorácido #humornegro,3,1Ehu7kSMzKMxlPGJVGkiyGoJLnyYHv_B0,Universe Real - 008.mp4,INSTAGRAM,video/mp4,2026-06-11T22:19:14.629Z,9999,3.24,,17.76,Needs_visual_review
NEXT10,12,1036844829507460_122130329817072582,1518053389684402,2026-06-15T04:05:45+0000,13,Piensalo bien... #universesentme #fun #humorácido #humornegro,4,1EkeGe3RB24J0RibBiExsJ0mHOBpOUGG4,"ChatGPT Image 11 jun 2026, 05_59_03 p.m.png",INSTAGRAM,image/png,2026-06-11T22:59:03.445Z,,3.21,,16.79,Needs_visual_review
NEXT10,12,1036844829507460_122130329817072582,1518053389684402,2026-06-15T04:05:45+0000,13,Piensalo bien... #universesentme #fun #humorácido #humornegro,5,15nHZZftnESgshlLevc0gK8N0zSqEq6Pp,Universe sent me - 022.png,INSTAGRAM,image/png,2026-06-10T21:41:45.750Z,,4.27,,15.73,Needs_visual_review
NEXT10,13,1036844829507460_122127654273072582,1032196252667933,2026-06-06T20:38:05+0000,12,,1,1JT036FJRCxnMH-DXqJ5EUzfJOlQ0YJZc,Universe Real - 004.mp4,INSTAGRAM,video/mp4,2026-06-06T20:12:56.295Z,7999,0.02,,20.98,Needs_visual_review
NEXT10,13,1036844829507460_122127654273072582,1032196252667933,2026-06-06T20:38:05+0000,12,,2,1rimI-m7w0FcodKXWE2z0_7Hm0c7LHKEO,64fe27f836344fdb2ba8e37c16e386f5.mp4,INSTAGRAM,video/mp4,2026-06-06T19:44:08.605Z,11133,0.04,,20.96,Needs_visual_review
NEXT10,13,1036844829507460_122127654273072582,1032196252667933,2026-06-06T20:38:05+0000,12,,3,10SjQf6tIHVDR8lW7ZmH-vl4FRjzNrAaz,Universe Real - 003.mp4,INSTAGRAM,video/mp4,2026-06-06T18:28:53.871Z,7999,0.09,,20.91,Needs_visual_review
NEXT10,13,1036844829507460_122127654273072582,1032196252667933,2026-06-06T20:38:05+0000,12,,4,1MswyZYpOUp7-CCjiQLzcCmyNXOXUxW89,Universe Real - 002.mp4,INSTAGRAM,video/mp4,2026-06-06T18:00:50.980Z,7999,0.11,,20.89,Needs_visual_review
NEXT10,13,1036844829507460_122127654273072582,1032196252667933,2026-06-06T20:38:05+0000,12,,5,1wL0wmEoJzEE6QB65xXUwcQethEYGbUKf,Universe Real - 001.mp4,INSTAGRAM,video/mp4,2026-06-06T17:51:02.746Z,7999,0.12,,20.88,Needs_visual_review
NEXT10,14,1036844829507460_122129025387072582,1408386457716987,2026-06-11T00:33:05+0000,12,#universesentme true killer,1,1Ehu7kSMzKMxlPGJVGkiyGoJLnyYHv_B0,Universe Real - 008.mp4,INSTAGRAM,video/mp4,2026-06-11T22:19:14.629Z,9999,0.91,,20.09,Needs_visual_review
NEXT10,14,1036844829507460_122129025387072582,1408386457716987,2026-06-11T00:33:05+0000,12,#universesentme true killer,2,15nHZZftnESgshlLevc0gK8N0zSqEq6Pp,Universe sent me - 022.png,INSTAGRAM,image/png,2026-06-10T21:41:45.750Z,,0.12,,19.88,Needs_visual_review
NEXT10,14,1036844829507460_122129025387072582,1408386457716987,2026-06-11T00:33:05+0000,12,#universesentme true killer,3,1EkeGe3RB24J0RibBiExsJ0mHOBpOUGG4,"ChatGPT Image 11 jun 2026, 05_59_03 p.m.png",INSTAGRAM,image/png,2026-06-11T22:59:03.445Z,,0.93,,19.07,Needs_visual_review
NEXT10,14,1036844829507460_122129025387072582,1408386457716987,2026-06-11T00:33:05+0000,12,#universesentme true killer,4,1vFRModK-KTYj6D9ZXhYBFhMOr3B-fS5F,Man_pressing_hands_temples_202606131832.mp4,,video/mp4,2026-06-13T23:32:24.911Z,7999,2.96,,18.04,Needs_visual_review
NEXT10,14,1036844829507460_122129025387072582,1408386457716987,2026-06-11T00:33:05+0000,12,#universesentme true killer,5,18GoVQOBam-Tgox4rXNyRwwZk19BBeEzF,Man_exerting_intense_physical_ef…_202606131851.mp4,,video/mp4,2026-06-13T23:51:45.731Z,9999,2.97,,18.03,Needs_visual_review
NEXT10,15,1036844829507460_122121314085072582,26960899110262609,2026-05-18T20:12:01+0000,11,Obtuve más de 5.150 reacciones en mis publicaciones la semana pasada. ¡Gracias a todos por el apoyo! 🎉,1,1HFBUvDQSmHzdxrPxlBs6uTrSIOY6xzT0,Elara_and_Evan_hug_Gracias por sacarme del caos.mp4,,video/mp4,2026-07-11T19:01:32.823Z,9999,53.95,gracias,101,Needs_visual_review
NEXT10,15,1036844829507460_122121314085072582,26960899110262609,2026-05-18T20:12:01+0000,11,Obtuve más de 5.150 reacciones en mis publicaciones la semana pasada. ¡Gracias a todos por el apoyo! 🎉,2,175XnmOVnBPgVCFlwyDWCZ3jCAmB2MOjO,Fantasma_tranquilo_con_viento_202605241629.mp4,,video/mp4,2026-05-24T21:29:12.665Z,7999,6.05,,14.95,Needs_visual_review
NEXT10,15,1036844829507460_122121314085072582,26960899110262609,2026-05-18T20:12:01+0000,11,Obtuve más de 5.150 reacciones en mis publicaciones la semana pasada. ¡Gracias a todos por el apoyo! 🎉,3,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,,video/mp4,2026-06-04T20:32:20.064Z,7999,17.01,,3.99,Needs_visual_review
NEXT10,15,1036844829507460_122121314085072582,26960899110262609,2026-05-18T20:12:01+0000,11,Obtuve más de 5.150 reacciones en mis publicaciones la semana pasada. ¡Gracias a todos por el apoyo! 🎉,4,11R4SnZUnPc63fj-Gqbu2TtphiBOa357q,Universe sent me - 001.png,INSTAGRAM,image/png,2026-06-03T23:08:06.656Z,,16.12,,3.88,Needs_visual_review
NEXT10,15,1036844829507460_122121314085072582,26960899110262609,2026-05-18T20:12:01+0000,11,Obtuve más de 5.150 reacciones en mis publicaciones la semana pasada. ¡Gracias a todos por el apoyo! 🎉,5,1bHcZ24HjBewz2l0bt1XNf2wk6kdhDKoM,Universe sent me - 002.png,INSTAGRAM,image/png,2026-06-03T23:10:50.582Z,,16.12,,3.88,Needs_visual_review
