Queue_ID,Priority_Rank,Tier,Meta_Post_ID,Meta_Reel_ID,Publication_UTC,Engagement,Meta_Caption,Drive_File_ID,Drive_File_Name,Drive_Folder_Path,Drive_Created_UTC,Drive_Modified_UTC,Drive_MimeType,Drive_Duration_ms,Date_Delta_Days,Filename_Token_Overlap,Triage_Score,Triage_Status,Decision_Status
RAQ-001,1,Tier_1,1036844829507460_122125528653072582,1020271167128162,2026-06-01T16:08:45+0000,35,#universesentme #bonita,1HTTD4Qp-2jVtG9uq2dFJegp2Xf_1W5VX,UniverseSentMe OnAir.png,Reels/Horoscopos,2026-07-09T16:05:28.926Z,2026-07-09T16:05:28.932Z,image/png,,38.0,universesentme,10.0,Candidate_Visual_Review,Queued_For_Review
RAQ-001,1,Tier_1,1036844829507460_122125528653072582,1020271167128162,2026-06-01T16:08:45+0000,35,#universesentme #bonita,11R4SnZUnPc63fj-Gqbu2TtphiBOa357q,Universe sent me - 001.png,Reels/INSTAGRAM,2026-06-03T23:08:06.656Z,2026-06-03T23:08:06.660Z,image/png,,2.29,,4.54,Date_Proximity_Only,Queued_For_Review
RAQ-001,1,Tier_1,1036844829507460_122125528653072582,1020271167128162,2026-06-01T16:08:45+0000,35,#universesentme #bonita,1bHcZ24HjBewz2l0bt1XNf2wk6kdhDKoM,Universe sent me - 002.png,Reels/INSTAGRAM,2026-06-03T23:10:50.582Z,2026-06-03T23:10:50.589Z,image/png,,2.29,,4.54,Date_Proximity_Only,Queued_For_Review
RAQ-001,1,Tier_1,1036844829507460_122125528653072582,1020271167128162,2026-06-01T16:08:45+0000,35,#universesentme #bonita,1LYnpKq7qqjOGSK6AaWJWP7vWJBaX561c,Universe sent me - 003.png,Reels/INSTAGRAM,2026-06-03T23:13:21.029Z,2026-06-03T23:13:21.036Z,image/png,,2.29,,4.54,Date_Proximity_Only,Queued_For_Review
RAQ-001,1,Tier_1,1036844829507460_122125528653072582,1020271167128162,2026-06-01T16:08:45+0000,35,#universesentme #bonita,12gK6J-SwKYMisEpSAV31DCJGl_mW2uZ_,Universe sent me - 004.png,Reels/INSTAGRAM,2026-06-03T23:33:37.880Z,2026-06-03T23:33:37.887Z,image/png,,2.31,,4.54,Date_Proximity_Only,Queued_For_Review
RAQ-002,2,Tier_1,1036844829507460_122127661851072582,1303110198700919,2026-06-07T00:31:38+0000,24,,1JT036FJRCxnMH-DXqJ5EUzfJOlQ0YJZc,Universe Real - 004.mp4,Reels/INSTAGRAM,2026-06-06T20:12:56.295Z,2026-06-06T20:12:56.303Z,video/mp4,7999,0.18,,4.96,Date_Proximity_Only,Queued_For_Review
RAQ-002,2,Tier_1,1036844829507460_122127661851072582,1303110198700919,2026-06-07T00:31:38+0000,24,,1uhd8XI9legsEV-tEuGmZZw--5MtnEN8-,Universe sent me - 016.png,Reels/INSTAGRAM,2026-06-06T20:13:24.008Z,2026-06-06T20:13:24.011Z,image/png,,0.18,,4.96,Date_Proximity_Only,Queued_For_Review
RAQ-002,2,Tier_1,1036844829507460_122127661851072582,1303110198700919,2026-06-07T00:31:38+0000,24,,17nmQ3dcDxp2uNOKVG1CinvzMB4diPKWz,Universe sent me - 017.png,Reels/INSTAGRAM,2026-06-06T20:15:39.378Z,2026-06-06T20:15:39.384Z,image/png,,0.18,,4.96,Date_Proximity_Only,Queued_For_Review
RAQ-002,2,Tier_1,1036844829507460_122127661851072582,1303110198700919,2026-06-07T00:31:38+0000,24,,1rimI-m7w0FcodKXWE2z0_7Hm0c7LHKEO,64fe27f836344fdb2ba8e37c16e386f5.mp4,Reels/INSTAGRAM,2026-06-06T19:44:08.605Z,2026-06-06T19:44:08.750Z,video/mp4,11133,0.2,,4.96,Date_Proximity_Only,Queued_For_Review
RAQ-002,2,Tier_1,1036844829507460_122127661851072582,1303110198700919,2026-06-07T00:31:38+0000,24,,10SjQf6tIHVDR8lW7ZmH-vl4FRjzNrAaz,Universe Real - 003.mp4,Reels/INSTAGRAM,2026-06-06T18:28:53.871Z,2026-06-06T18:28:53.881Z,video/mp4,7999,0.25,,4.95,Date_Proximity_Only,Queued_For_Review
RAQ-003,3,Tier_1,1036844829507460_122128512777072582,1014879604586494,2026-06-09T15:36:25+0000,20,Consejo del día,15nHZZftnESgshlLevc0gK8N0zSqEq6Pp,Universe sent me - 022.png,Reels/INSTAGRAM,2026-06-10T21:41:45.750Z,2026-06-10T21:41:45.759Z,image/png,,1.25,,4.75,Date_Proximity_Only,Queued_For_Review
RAQ-003,3,Tier_1,1036844829507460_122128512777072582,1014879604586494,2026-06-09T15:36:25+0000,20,Consejo del día,1PnBZqU9JhJYVjHgLpfek-mqZQoyToy-I,Universe Real - 006.mp4,Reels/INSTAGRAM,2026-06-07T21:11:48.316Z,2026-06-07T21:11:48.323Z,video/mp4,7999,1.77,,4.65,Date_Proximity_Only,Queued_For_Review
