Review_Batch,Meta_Priority_Rank,Meta_Post_ID,Meta_Reel_ID,Publication_UTC,Engagement,Meta_Caption,Candidate_Rank,Drive_File_ID,Drive_File_Name,Drive_Folder_Path,Drive_MimeType,Drive_Created_UTC,Drive_Duration_ms,Date_Delta_Days,Meaningful_Token_Overlap,Triage_Score,Review_Status
TIER2A,16,1036844829507460_122125178583072582,1007452508604299,2026-05-31T19:06:47+0000,10,Acaricia mi alma... #UniverseSentMe #rockstar #fblifestyle #Zoe,1,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,,video/mp4,2026-06-04T20:32:20.064Z,7999,4.06,,16.94,Needs_visual_review
TIER2A,16,1036844829507460_122125178583072582,1007452508604299,2026-05-31T19:06:47+0000,10,Acaricia mi alma... #UniverseSentMe #rockstar #fblifestyle #Zoe,2,11R4SnZUnPc63fj-Gqbu2TtphiBOa357q,Universe sent me - 001.png,INSTAGRAM,image/png,2026-06-03T23:08:06.656Z,,3.17,,16.83,Needs_visual_review
TIER2A,16,1036844829507460_122125178583072582,1007452508604299,2026-05-31T19:06:47+0000,10,Acaricia mi alma... #UniverseSentMe #rockstar #fblifestyle #Zoe,3,1bHcZ24HjBewz2l0bt1XNf2wk6kdhDKoM,Universe sent me - 002.png,INSTAGRAM,image/png,2026-06-03T23:10:50.582Z,,3.17,,16.83,Needs_visual_review
TIER2A,16,1036844829507460_122125178583072582,1007452508604299,2026-05-31T19:06:47+0000,10,Acaricia mi alma... #UniverseSentMe #rockstar #fblifestyle #Zoe,4,1LYnpKq7qqjOGSK6AaWJWP7vWJBaX561c,Universe sent me - 003.png,INSTAGRAM,image/png,2026-06-03T23:13:21.029Z,,3.17,,16.83,Needs_visual_review
TIER2A,16,1036844829507460_122125178583072582,1007452508604299,2026-05-31T19:06:47+0000,10,Acaricia mi alma... #UniverseSentMe #rockstar #fblifestyle #Zoe,5,12gK6J-SwKYMisEpSAV31DCJGl_mW2uZ_,Universe sent me - 004.png,INSTAGRAM,image/png,2026-06-03T23:33:37.880Z,,3.19,,16.81,Needs_visual_review
TIER2A,17,1036844829507460_122134065975072582,2159954351459805,2026-06-28T02:24:16+0000,10,#universesentme #vidareal #destiny,1,1hduudZ2UhqzrwFVoxs4gJryxPoBAVU1W,Wilfred_and_Elara_cosmic_radio_202606272110.mp4,Horoscopos,video/mp4,2026-06-28T02:10:18.055Z,3999,0.01,,20.99,Needs_visual_review
TIER2A,17,1036844829507460_122134065975072582,2159954351459805,2026-06-28T02:24:16+0000,10,#universesentme #vidareal #destiny,2,1ujbbAL9mAm7OCdHrlXeQ8OeIAodzFbZC,Elara_and_Wilfred_dialogue_anima…_202606271715.mp4,Horoscopos,video/mp4,2026-06-27T22:15:45.417Z,9999,0.17,,20.83,Needs_visual_review
TIER2A,17,1036844829507460_122134065975072582,2159954351459805,2026-06-28T02:24:16+0000,10,#universesentme #vidareal #destiny,3,1fB-lkJDO_BwmO99CnREcc2JK7uD5om0k,"ChatGPT Image Jun 27, 2026, 03_18_47 PM.png",Horoscopos,image/png,2026-06-27T20:18:47.384Z,,0.25,,19.75,Needs_visual_review
TIER2A,17,1036844829507460_122134065975072582,2159954351459805,2026-06-28T02:24:16+0000,10,#universesentme #vidareal #destiny,4,1HEpgyuh2DkGnGtjQIVtkaYeVwj9RFVNj,"ChatGPT Image Jun 27, 2026, 03_05_25 PM.png",Horoscopos,image/png,2026-06-27T20:05:25.747Z,,0.26,,19.74,Needs_visual_review
TIER2A,17,1036844829507460_122134065975072582,2159954351459805,2026-06-28T02:24:16+0000,10,#universesentme #vidareal #destiny,5,14Jwguu1pUljEBQtzZPWxc_fEOCWpwkKW,Pato_villano_mirando_cámara_POV_EresAries.mp4,,video/mp4,2026-06-30T18:30:27.983Z,9999,2.67,,18.33,Needs_visual_review
