Review_Batch,Meta_Priority_Rank,Meta_Post_ID,Meta_Reel_ID,Publication_UTC,Engagement,Meta_Caption,Candidate_Rank,Drive_File_ID,Drive_File_Name,Drive_Folder_Path,Drive_MimeType,Drive_Created_UTC,Drive_Duration_ms,Date_Delta_Days,Meaningful_Token_Overlap,Triage_Score,Review_Status
TOP5,1,1036844829507460_122125528653072582,1020271167128162,2026-06-01T16:08:45+0000,35,#universesentme #bonita,1,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,,video/mp4,2026-06-04T20:32:20.064Z,7999,3.18,,17.82,Needs_visual_review
TOP5,1,1036844829507460_122125528653072582,1020271167128162,2026-06-01T16:08:45+0000,35,#universesentme #bonita,2,11R4SnZUnPc63fj-Gqbu2TtphiBOa357q,Universe sent me - 001.png,INSTAGRAM,image/png,2026-06-03T23:08:06.656Z,,2.29,,17.71,Needs_visual_review
TOP5,1,1036844829507460_122125528653072582,1020271167128162,2026-06-01T16:08:45+0000,35,#universesentme #bonita,3,1bHcZ24HjBewz2l0bt1XNf2wk6kdhDKoM,Universe sent me - 002.png,INSTAGRAM,image/png,2026-06-03T23:10:50.582Z,,2.29,,17.71,Needs_visual_review
TOP5,1,1036844829507460_122125528653072582,1020271167128162,2026-06-01T16:08:45+0000,35,#universesentme #bonita,4,1LYnpKq7qqjOGSK6AaWJWP7vWJBaX561c,Universe sent me - 003.png,INSTAGRAM,image/png,2026-06-03T23:13:21.029Z,,2.29,,17.71,Needs_visual_review
TOP5,1,1036844829507460_122125528653072582,1020271167128162,2026-06-01T16:08:45+0000,35,#universesentme #bonita,5,12gK6J-SwKYMisEpSAV31DCJGl_mW2uZ_,Universe sent me - 004.png,INSTAGRAM,image/png,2026-06-03T23:33:37.880Z,,2.31,,17.69,Needs_visual_review
TOP5,2,1036844829507460_122127661851072582,1303110198700919,2026-06-07T00:31:38+0000,24,,1,1JT036FJRCxnMH-DXqJ5EUzfJOlQ0YJZc,Universe Real - 004.mp4,INSTAGRAM,video/mp4,2026-06-06T20:12:56.295Z,7999,0.18,,20.82,Needs_visual_review
TOP5,2,1036844829507460_122127661851072582,1303110198700919,2026-06-07T00:31:38+0000,24,,2,1rimI-m7w0FcodKXWE2z0_7Hm0c7LHKEO,64fe27f836344fdb2ba8e37c16e386f5.mp4,INSTAGRAM,video/mp4,2026-06-06T19:44:08.605Z,11133,0.2,,20.8,Needs_visual_review
TOP5,2,1036844829507460_122127661851072582,1303110198700919,2026-06-07T00:31:38+0000,24,,3,10SjQf6tIHVDR8lW7ZmH-vl4FRjzNrAaz,Universe Real - 003.mp4,INSTAGRAM,video/mp4,2026-06-06T18:28:53.871Z,7999,0.25,,20.75,Needs_visual_review
TOP5,2,1036844829507460_122127661851072582,1303110198700919,2026-06-07T00:31:38+0000,24,,4,1MswyZYpOUp7-CCjiQLzcCmyNXOXUxW89,Universe Real - 002.mp4,INSTAGRAM,video/mp4,2026-06-06T18:00:50.980Z,7999,0.27,,20.73,Needs_visual_review
TOP5,2,1036844829507460_122127661851072582,1303110198700919,2026-06-07T00:31:38+0000,24,,5,1wL0wmEoJzEE6QB65xXUwcQethEYGbUKf,Universe Real - 001.mp4,INSTAGRAM,video/mp4,2026-06-06T17:51:02.746Z,7999,0.28,,20.72,Needs_visual_review
TOP5,3,1036844829507460_122128512777072582,1014879604586494,2026-06-09T15:36:25+0000,20,Consejo del día,1,1tuyTmU-a6TLpfceGiKH9fQXmDi1aur7u,Universe Real - 007.mp4,INSTAGRAM,video/mp4,2026-06-07T21:12:59.005Z,,1.77,,19.23,Needs_visual_review
TOP5,3,1036844829507460_122128512777072582,1014879604586494,2026-06-09T15:36:25+0000,20,Consejo del día,2,1PnBZqU9JhJYVjHgLpfek-mqZQoyToy-I,Universe Real - 006.mp4,INSTAGRAM,video/mp4,2026-06-07T21:11:48.316Z,7999,1.77,,19.23,Needs_visual_review
TOP5,3,1036844829507460_122128512777072582,1014879604586494,2026-06-09T15:36:25+0000,20,Consejo del día,3,1trt7UB5c9HRNU-wy_pFWcQzbQ3mIombJ,Universe Real - 005.mp4,INSTAGRAM,video/mp4,2026-06-07T14:52:23.817Z,,2.03,,18.97,Needs_visual_review
