post_id,local_date,local_time,weekday,format,interactions,reactions,comments,shares,message,asset_ref,piece_id,publication_id,planned_type,planned_caption_type,experiment_id,mapped_publication_log,mapped_calendar_slot
1036844829507460_122150559873072582,2026-08-16,11:00,Sunday,Image_or_post,94,77,2,15,Necesito hidratarme hasta en los sueños. 💧 #UniverseSentMe #UniverseUSM #MemesUSM,2608037- Universe - soñe que era un litrro de agua.jpeg,CNT-035,PUB-FB-15_16-05,,,EXP-2026-08-CAL-01,True,False
1036844829507460_122150559981072582,2026-08-16,14:30,Sunday,Image_or_post,61,46,3,12,😐 #UniverseSentMe #UniverseUSM #MemesUSM,260673 - Universe.png,CNT-036,PUB-FB-15_16-06,,,EXP-2026-08-CAL-01,True,False
1036844829507460_122150560083072582,2026-08-16,17:00,Sunday,Image_or_post,43,27,2,14,Cuando hasta ustedes dos saben que son demasiado. 😅 #UniverseSentMe #ElaraUSM #EvanUSM,2608036- Elara+Evan - Nadie nos soporta.jpeg,CNT-037,PUB-FB-15_16-07,,,EXP-2026-08-CAL-01,True,False
1036844829507460_122150560215072582,2026-08-16,20:00,Sunday,Image_or_post,49,36,2,11,"No tenemos gustos raros, tenemos gustos salvajones. 😏 #UniverseSentMe #MaeveUSM #MemesUSM",2608060 - Kael+Maeve - gustos salvajones.jpeg,CNT-038,PUB-FB-15_16-08,,,EXP-2026-08-CAL-01,True,False
1036844829507460_122150560383072582,2026-08-16,23:00,Sunday,Image_or_post,33,20,3,10,🫣🫣 #UniverseSentMe #MemesUSM,humor4.16.png,CNT-039,PUB-FB-15_16-09,,,EXP-2026-08-CAL-01,True,False
1036844829507460_122151373701072582,2026-08-17,10:00,Monday,Image_or_post,61,49,2,10,😮‍💨 #UniverseSentMe,260633 - Universe.png,,PUB-FB-17_30-01,Reuse_Top,Emoji_Minimo,EXP-2026-08-CAL-01,True,True
1036844829507460_122151373761072582,2026-08-17,11:00,Monday,Image_or_post,1004,731,2,271,🥰🌎😂 #UniverseUSM #MemesUSM #UniverseSentMe,2608028 - Universe -  El amor esta en todos lados.png,,PUB-FB-17_30-02,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151373833072582,2026-08-17,13:30,Monday,Image_or_post,40,32,4,4,👀🤫🃏 #ElaraUSM #MemesUSM #UniverseSentMe,2608034- Elara - uno debe ser chismoso.jpeg,,PUB-FB-17_30-03,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
1036844829507460_122151373893072582,2026-08-17,16:00,Monday,Image_or_post,6,3,0,3,😶‍🌫️ #UniverseSentMe,260642 - Universe+Wilfred.png,,PUB-FB-17_30-04,Reuse_Top,Emoji_Minimo,EXP-2026-08-CAL-01,True,True
1036844829507460_122151373953072582,2026-08-17,17:00,Monday,Image_or_post,55,42,2,11,😮‍💨😵‍💫😂 #MemesUSM #UniverseSentMe,2608027.jpeg,,PUB-FB-17_30-05,Nueva,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,True,True
